size,mean_r,frac_ev,median_studied,members
3,0.314,0.0,1.0,ACAP2 ARF6 RAB35
3,0.462,0.0,3.0,BRAT1 INTS9 WDR73
3,0.311,0.0,0.0,C19orf53 METAP1 METAP2
4,0.32,0.0,1.5,C1QTNF5 MFRP TTC36 UPK2
3,0.318,0.0,5.0,CEP192 CEP85 TUBGCP3
3,0.326,0.0,0.0,CFAP144 CFAP57 TMEM53
3,0.388,0.0,1.0,CHP1 GPAT4 VKORC1L1
4,0.446,0.0,3.0,CEP55 CIT KIF14 PDCD6IP
4,0.403,0.0,17.0,CMAS GNE NANS SLC35A1
3,0.473,0.0,1.0,CNEP1R1 CTDNEP1 LEMD3
3,0.56,0.0,1.0,DDI2 NFE2L1 NGLY1
4,0.43,0.0,1.5,DDX3X EIF1AX RPS4X ZFX
3,0.355,0.0,0.0,DDX43 DPPA5 KHDC3L
3,0.306,0.0,9.0,DNAAF3 PDGFRB TMEM54
5,0.379,0.1,1.0,CAPRIN1 EDF1 G3BP1 IRF2 TSR3
4,0.429,0.0,1.0,ASNS ATF4 EIF2AK4 GCN1
3,0.304,0.0,0.0,C14orf180 CIMAP1B FAM181B
3,0.385,0.0,0.0,FOXK1 UBALD1 UBALD2
7,0.349,0.0,2.0,AP5S1 CCNA2 CCNB1 CDC25B FBXO5 FOXM1 SPEF1
3,0.304,0.0,0.0,GALNT6 GK5 THTPA
3,0.313,0.0,0.0,GDF7 GPR27 PFN3
3,0.325,0.0,8.0,ADAM11 GRN MPP3
3,0.396,0.0,5.0,CRAMP1 H1-2 H1-4
4,0.312,0.0,0.0,AIFM3 HIC2 RIMBP3 SLC7A4
4,0.329,0.0,2.0,IRF6 KDF1 RIPK4 TRAF3IP3
3,0.308,0.0,0.0,CCKBR KALRN KDR
3,0.429,0.0,1.0,KIF15 KIF18B KIF2C
3,0.313,0.0,5.0,DCXR LRRC45 P4HB
3,0.318,0.0,0.0,MELTF PIGZ ZDHHC19
4,0.325,0.0,0.0,C2CD4C FGF22 GZMM MISP
4,0.312,0.0,0.0,C8orf76 MTSS1 RNF139 TRMT12
5,0.366,0.0,3.0,DLL1 MYOD1 MYOG PAX3 ZBTB18
11,0.326,0.0,0.0,ARHGAP33 CATSPERG GMFG NCCRP1 PLEKHG2 SBSN SIRT2 SLC7A10 UPK1A WDR87 WDR88
3,0.548,0.0,0.0,OTUD5 TRIP12 UBR5
3,0.326,0.0,0.0,LIMD2 PLEKHM1 PRR29
12,0.318,0.0,2.0,ARHGDIA ASPSCR1 FSCN2 MAFG MCRIP1 PYCR1 RAB40B RFNG SECTM1 SLC25A10 SLC38A10 TEPSIN
4,0.517,0.0,2.0,RAB18 RAB3GAP1 RAB3GAP2 TBC1D20
5,0.407,0.0,5.0,LZTR1 NF1 RASA2 SPRED1 SPRED2
6,0.384,0.0,0.5,DAPK3 LUZP1 PAWR ROCK1 ROCK2 TMOD3
3,0.36,0.0,5.0,LIF SLC39A1 SOCS3
5,0.36,0.0,1.0,ACVR1 BMPR1A IPO8 RGMB SMAD4
3,0.323,0.0,1.0,PPP2R5C PPP2R5E SNRK
3,0.349,0.0,3.0,SNRPB2 SNUPN TGS1
3,0.475,0.0,1.0,PIAS4 SRBD1 TDP2
3,0.374,0.0,1.0,NRBP1 TSC22D2 WNK1
4,0.327,0.0,0.5,FZD5 LRP5 WLS WNT7B
4,0.33,0.0,0.0,EXO5 PPT1 ZFP69B ZNF684
