cluster,size,mean_r,corum_pairs,ev_pairs,n_pairs,frac_ev,purity,members
30,3,0.7,2,2,3,0.667,1.0,NCAPD3 NCAPG2 NCAPH2
12,3,0.56,0,0,3,0.0,0.0,DDI2 NFE2L1 NGLY1
55,6,0.554,1,5,15,0.333,0.333,MAEA MEMO1 RMND5A UBE2H WDR26 YPEL5
34,3,0.548,0,0,3,0.0,0.0,OTUD5 TRIP12 UBR5
22,4,0.519,0,2,6,0.333,0.25,INTS10 INTS13 INTS14 INTS15
47,3,0.513,0,0,3,0.0,0.0,TM2D1 TM2D2 TM2D3
35,3,0.494,0,0,3,0.0,0.333,ARID2 BRD7 PBRM1
50,6,0.483,0,0,15,0.0,0.0,BIRC6 HECTD1 KCMF1 PPP1R15B UBA6 UBR4
10,3,0.473,0,0,3,0.0,0.0,CNEP1R1 CTDNEP1 LEMD3
51,10,0.472,0,4,45,0.089,0.0,CDK5RAP3 DDRGK1 DNAJC21 EFL1 ODR4 SBDS UBA5 UFC1 UFL1 UFM1
28,17,0.462,0,0,136,0.0,0.059,BRIP1 CENPX ERCC4 FAAP100 FAAP24 FANCA FANCC FANCD2 FANCE FANCF FANCI FANCL FANCM RFWD3 SLX4 SMARCAL1 UBE2T
3,3,0.462,0,0,3,0.0,0.333,BRAT1 INTS9 WDR73
37,8,0.455,0,0,28,0.0,0.0,ABCD1 ACOX1 HSD17B4 PEX1 PEX13 PEX14 PEX26 PEX6
53,5,0.454,0,1,10,0.1,0.2,RAB5C RBSN TGFBRAP1 VPS45 VPS8
21,3,0.451,1,1,3,0.333,0.667,ASF1A CABIN1 HIRA
36,4,0.446,0,0,6,0.0,0.0,CEP55 CIT KIF14 PDCD6IP
40,3,0.445,1,1,3,0.333,0.667,PSMB5 PSMB6 THAP1
25,36,0.435,14,18,630,0.029,0.139,AKT1 AKT2 CCDC22 COMMD3 COMMD8 FLCN LAMTOR1 LAMTOR2 LAMTOR3 LAMTOR4 MAPKAP1 MIOS MLST8 MTOR PDPK1 PIK3CB RAB21 RAB7A RICTOR RPTOR RRAGA RRAGC SEH1L VPS16 VPS18 VPS26A VPS29 VPS33A VPS35 VPS35L VPS39 VPS41 WASHC3 WASHC5 WDR24 WDR59
52,3,0.432,0,0,3,0.0,0.333,EGLN1 ELOB VHL
14,4,0.43,0,0,6,0.0,0.0,DDX3X EIF1AX RPS4X ZFX
4,7,0.43,3,7,21,0.333,0.429,BRD8 EMSY GATAD1 KDM5A MORF4L1 MRGBP PHF12
15,4,0.429,0,0,6,0.0,0.0,ASNS ATF4 EIF2AK4 GCN1
11,3,0.424,0,0,3,0.0,0.333,CNOT1 CNOT11 GGNBP2
27,4,0.423,0,0,6,0.0,0.0,MARCHF5 MCL1 UBE2J2 UBE2K
19,6,0.416,0,1,15,0.067,0.167,AVEN DIS3L HBS1L PELO SKIC2 SKIC3
0,4,0.414,0,0,6,0.0,0.25,AAAS NDC1 NUP35 NUP43
42,3,0.409,1,1,3,0.333,1.0,SAP130 SIN3A SUDS3
6,3,0.405,0,0,3,0.0,0.0,CAPRIN1 EDF1 IRF2
56,30,0.404,2,3,435,0.007,0.067,ANKRD52 BRAF COP1 CRTC2 CRTC3 CYB5R4 DET1 DGCR8 DICER1 DROSHA DUSP4 ELOA LCMT1 MAP2K1 MAPK1 MITF PPME1 PPP2R2A PPP4R2 PPP6C PPP6R3 PTPA SOX10 SOX9 STK40 TFAP2A TIPRL TRIB1 XPO5 ZEB2
1,14,0.398,6,7,91,0.077,0.286,ACTR1A DYNC1LI2 KIF18A PDCD5 PDCL3 PFDN1 PFDN4 PFDN5 TBCA TUBA1B TUBA1C TUBB TXNDC9 VBP1
13,8,0.396,2,2,28,0.071,0.375,ADAR DCP2 DDX6 EDC4 ISG15 PRKRA USP18 XRN1
44,6,0.391,9,9,15,0.6,0.833,ARID1A DPF2 SMARCA4 SMARCB1 SMARCC1 SMARCE1
16,3,0.386,2,2,3,0.667,1.0,EPC1 EPC2 ING3
29,3,0.382,0,0,3,0.0,0.0,MT1HL1 MT1X MT2A
41,15,0.38,2,3,105,0.029,0.267,BIRC2 CFLAR CHUK FADD FAM89B IKBKG MAP3K7 NCOA5 RELA RELB RNF31 TRAF2 TRAF6 UBE2N ZNF638
48,12,0.376,15,16,66,0.242,0.5,CAND1 COPS2 COPS3 COPS4 COPS5 COPS8 CUL3 GPS1 KCTD5 KEAP1 TSC1 TSC2
32,3,0.374,0,0,3,0.0,0.0,NRBP1 TSC22D2 WNK1
24,3,0.373,0,0,3,0.0,0.333,KANSL1 KANSL2 KANSL3
38,4,0.373,0,0,6,0.0,0.25,BECN1 PIK3C3 PIK3R4 UVRAG
54,4,0.368,0,3,6,0.5,0.0,RNF20 RNF40 UBE2A WAC
49,3,0.368,0,1,3,0.333,0.0,NAE1 UBA3 UBE2M
7,5,0.359,0,0,10,0.0,0.4,CCNA2 CCNB1 CDC25B FBXO5 FOXM1
57,3,0.359,0,0,3,0.0,0.0,ZNF492 ZNF730 ZNF91
20,3,0.359,1,0,3,0.0,0.667,AP1G1 AP1M1 HEATR5B
18,5,0.359,0,0,10,0.0,0.0,H3C11 H3C3 H3C4 H3C7 H3C8
2,5,0.357,0,0,10,0.0,0.4,ANKRD11 HDAC3 NCOR1 SETD5 TBL1XR1
33,3,0.353,2,2,3,0.667,1.0,MIS12 NSL1 PMF1
46,3,0.349,0,0,3,0.0,0.333,SNRPB2 SNUPN TGS1
17,3,0.348,0,0,3,0.0,0.0,DIPK1A EXTL2 SLC44A3
8,3,0.334,0,0,3,0.0,0.333,CENPK CENPM CENPN
39,3,0.331,0,0,3,0.0,0.333,CTNNBL1 PPP1R8 PRPF19
45,4,0.326,3,3,6,0.5,0.75,DHX9 NDC80 SPC24 SPC25
26,3,0.321,0,0,3,0.0,0.0,MAX MYC TFAP4
9,3,0.318,0,0,3,0.0,0.333,CEP192 CEP85 TUBGCP3
31,3,0.317,3,3,3,1.0,1.0,NFYA NFYB NFYC
23,5,0.312,0,0,10,0.0,0.4,INTS12 INTS2 INTS6 INTS7 INTS8
43,3,0.312,0,0,3,0.0,0.0,DNAJB11 NFE2L2 SLC33A1
5,3,0.311,0,0,3,0.0,0.0,C19orf53 METAP1 METAP2
