cluster,size,mean_r,corum_pairs,ev_pairs,n_pairs,frac_ev,purity,members
12,3,0.56,0,0,3,0.0,0.0,DDI2 NFE2L1 NGLY1
34,3,0.548,0,0,3,0.0,0.0,OTUD5 TRIP12 UBR5
47,3,0.513,0,0,3,0.0,0.0,TM2D1 TM2D2 TM2D3
35,3,0.494,0,0,3,0.0,0.333,ARID2 BRD7 PBRM1
50,6,0.483,0,0,15,0.0,0.0,BIRC6 HECTD1 KCMF1 PPP1R15B UBA6 UBR4
10,3,0.473,0,0,3,0.0,0.0,CNEP1R1 CTDNEP1 LEMD3
51,10,0.472,0,4,45,0.089,0.0,CDK5RAP3 DDRGK1 DNAJC21 EFL1 ODR4 SBDS UBA5 UFC1 UFL1 UFM1
28,17,0.462,0,0,136,0.0,0.059,BRIP1 CENPX ERCC4 FAAP100 FAAP24 FANCA FANCC FANCD2 FANCE FANCF FANCI FANCL FANCM RFWD3 SLX4 SMARCAL1 UBE2T
3,3,0.462,0,0,3,0.0,0.333,BRAT1 INTS9 WDR73
37,8,0.455,0,0,28,0.0,0.0,ABCD1 ACOX1 HSD17B4 PEX1 PEX13 PEX14 PEX26 PEX6
53,5,0.454,0,1,10,0.1,0.2,RAB5C RBSN TGFBRAP1 VPS45 VPS8
36,4,0.446,0,0,6,0.0,0.0,CEP55 CIT KIF14 PDCD6IP
52,3,0.432,0,0,3,0.0,0.333,EGLN1 ELOB VHL
14,4,0.43,0,0,6,0.0,0.0,DDX3X EIF1AX RPS4X ZFX
15,4,0.429,0,0,6,0.0,0.0,ASNS ATF4 EIF2AK4 GCN1
11,3,0.424,0,0,3,0.0,0.333,CNOT1 CNOT11 GGNBP2
27,4,0.423,0,0,6,0.0,0.0,MARCHF5 MCL1 UBE2J2 UBE2K
19,6,0.416,0,1,15,0.067,0.167,AVEN DIS3L HBS1L PELO SKIC2 SKIC3
0,4,0.414,0,0,6,0.0,0.25,AAAS NDC1 NUP35 NUP43
6,3,0.405,0,0,3,0.0,0.0,CAPRIN1 EDF1 IRF2
29,3,0.382,0,0,3,0.0,0.0,MT1HL1 MT1X MT2A
32,3,0.374,0,0,3,0.0,0.0,NRBP1 TSC22D2 WNK1
24,3,0.373,0,0,3,0.0,0.333,KANSL1 KANSL2 KANSL3
38,4,0.373,0,0,6,0.0,0.25,BECN1 PIK3C3 PIK3R4 UVRAG
7,5,0.359,0,0,10,0.0,0.4,CCNA2 CCNB1 CDC25B FBXO5 FOXM1
57,3,0.359,0,0,3,0.0,0.0,ZNF492 ZNF730 ZNF91
18,5,0.359,0,0,10,0.0,0.0,H3C11 H3C3 H3C4 H3C7 H3C8
2,5,0.357,0,0,10,0.0,0.4,ANKRD11 HDAC3 NCOR1 SETD5 TBL1XR1
46,3,0.349,0,0,3,0.0,0.333,SNRPB2 SNUPN TGS1
17,3,0.348,0,0,3,0.0,0.0,DIPK1A EXTL2 SLC44A3
8,3,0.334,0,0,3,0.0,0.333,CENPK CENPM CENPN
39,3,0.331,0,0,3,0.0,0.333,CTNNBL1 PPP1R8 PRPF19
26,3,0.321,0,0,3,0.0,0.0,MAX MYC TFAP4
9,3,0.318,0,0,3,0.0,0.333,CEP192 CEP85 TUBGCP3
23,5,0.312,0,0,10,0.0,0.4,INTS12 INTS2 INTS6 INTS7 INTS8
43,3,0.312,0,0,3,0.0,0.0,DNAJB11 NFE2L2 SLC33A1
5,3,0.311,0,0,3,0.0,0.0,C19orf53 METAP1 METAP2
