arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
screen	KMUBBNQZNBTUSH-UHFFFAOYSA-N	O=C(O)COCCOCCN1CCC(=C(c2ccccc2)c2ccccc2)CC1	chembl_phase2	CHEMBL2105247	CC BY-SA 3.0	2026-09-25	395.5	3.702	1	4	59.0	10	29	58	3	0.375	0	0	0	
screen	MDEJTPWQNNMAQF-BVMLLJBZSA-N	C=C1CC[C@H]2[C@H](CN)[C@@H]([C@@]3(C)CC[C@H](O)C[C@@H]3CO)CC[C@]12C	chembl_phase3	CHEMBL3989954	CC BY-SA 3.0	2026-09-25	321.51	3.103	3	3	66.48	3	23	58	3	0.9	0	0	0	
screen	IQWYAQCHYZHJOS-UHFFFAOYSA-N	CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21	chembl_approved	CHEMBL2105527	CC BY-SA 3.0	2026-09-25	288.78	3.606	0	2	32.67	1	20	37	3	0.375	0	0	0	
screen	KUOYUNPLUMKQIF-UHFFFAOYSA-N	O=C1CCCC1(CCN1CCOCC1)C1=CCCC1	chembl_phase2	CHEMBL2104110	CC BY-SA 3.0	2026-09-25	263.38	2.558	0	3	29.54	4	19	44	3	0.812	0	0	1	
screen	GFFFJSWQOUVZCY-UHFFFAOYSA-N	CCN(CC)CCN(CC)CCOC(=O)c1ccc(N)cc1	chembl_phase2	CHEMBL2104039	CC BY-SA 3.0	2026-09-25	307.44	2.089	1	5	58.8	10	22	51	1	0.588	0	0	0	
screen	OGHNVEJMJSYVRP-UHFFFAOYSA-N	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	chembl_approved	CHEMBL723	CC BY-SA 3.0	2026-09-25	406.48	3.738	3	5	75.74	10	30	56	4	0.25	0	0	0	chembl_approved:CHEMBL1201167
screen	ODUOJXZPIYUATO-LJQANCHMSA-N	CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	chembl_phase2	CHEMBL1516410	CC BY-SA 3.0	2026-09-25	385.49	2.985	1	5	72.47	9	27	50	2	0.286	0	0	0	
screen	IUUBFDSJJHOTDI-UHFFFAOYSA-N	CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C	chembl_phase2	CHEMBL2104583	CC BY-SA 3.0	2026-09-25	313.49	4.497	1	2	23.47	3	23	54	4	0.714	0	0	0	
screen	XPHBRTNHVJSEQD-ATJXCDBQSA-N	CCN(CC)CC/C(=N/OC(=O)Nc1ccc(OC)cc1)c1ccccc1	chembl_phase2	CHEMBL2104013	CC BY-SA 3.0	2026-09-25	369.47	4.38	1	5	63.16	9	27	54	2	0.333	0	0	0	
screen	DDDZBLNULGDPGA-UHFFFAOYSA-N	Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1	chembl_phase2	CHEMBL476323	CC BY-SA 3.0	2026-09-25	431.46	4.578	0	4	47.36	6	31	55	4	0.391	0	0	0	
screen	ZJWWWCZRROHPDH-UHFFFAOYSA-N	CC(C)(C)NCC(O)COCC1COc2ccccc2O1	chembl_phase2	CHEMBL2106691	CC BY-SA 3.0	2026-09-25	295.38	1.592	2	5	59.95	6	21	46	2	0.625	0	0	0	
screen	VCZPUGSOJXZKIP-WCQYABFASA-N	O=C(O)[C@@H]1CCCC[C@@]1(O)c1ccccc1	chembl_phase2	CHEMBL2104042	CC BY-SA 3.0	2026-09-25	220.27	2.149	2	2	57.53	2	16	32	2	0.462	0	0	1	
screen	FSXLOWIFSZNIMV-UHFFFAOYSA-N	COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1NC(N)=O	chembl_phase2	CHEMBL4297440	CC BY-SA 3.0	2026-09-25	411.31	2.682	3	4	110.52	5	27	37	2	0.071	0	0	0	
screen	VKEQBMCRQDSRET-UHFFFAOYSA-N	CNC(C)C(=O)c1ccc2c(c1)OCO2	chembl_phase2	CHEMBL3604010	CC BY-SA 3.0	2026-09-25	207.23	1.206	1	4	47.56	3	15	28	2	0.364	0	0	0	
screen	ICAXEUYZCLRXKY-UHFFFAOYSA-N	O=c1c(CO)coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12	chembl_phase2	CHEMBL151475	CC BY-SA 3.0	2026-09-25	452.48	4.214	1	7	88.94	7	33	58	5	0.36	0	0	0	
screen	GNYWBETUYIZBHL-CQSZACIVSA-P	C[C@@H](NC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cccc[n+]2O)[n+]1O)c1cccc(Cl)c1	chembl_phase2	CHEMBL3545289	CC BY-SA 3.0	2026-09-25	499.35	3.667	4	4	89.35	8	33	55	3	0.227	0	0	0	
screen	OMLDMGPCWMBPAN-YPMHNXCESA-N	COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC	chembl_phase2	CHEMBL2107465	CC BY-SA 3.0	2026-09-25	313.79	1.037	3	5	85.61	4	21	41	2	0.5	0	0	0	
screen	XUZMWHLSFXCVMG-UHFFFAOYSA-N	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	chembl_approved	CHEMBL2105759	CC BY-SA 3.0	2026-09-25	371.43	1.096	1	6	120.56	5	26	43	4	0.375	0	0	0	
screen	OINXXHYENYVYPB-UHFFFAOYSA-N	Oc1ccccc1-c1nnco1	chembl_phase2	CHEMBL1903897	CC BY-SA 3.0	2026-09-25	162.15	1.442	1	4	59.15	1	12	18	2	0.0	0	0	0	
screen	SGTNSNPWRIOYBX-HHHXNRCGSA-N	COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	chembl_phase2	CHEMBL197	CC BY-SA 3.0	2026-09-25	454.61	5.093	0	6	63.95	13	33	71	2	0.519	0	1	0	
