arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in	stratum
screen	RNUZGLNPXJEBKW-UHFFFAOYSA-N	CC(C(N)=O)N1CCC(C(=O)NC2CCCCC2)CC1	coadd	CHEMBL4554904	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	281.4	1.021	2	3	75.43	4	20	47	2	0.867	0	0	1		fragment
screen	RPEWDZWYXHOICS-UHFFFAOYSA-N	COc1cc(Cl)c(CN)cc1OC	coadd	CHEMBL4538604	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	201.65	1.816	1	3	44.48	3	13	25	1	0.333	0	0	1		fragment
screen	HEMQINSXWBMZOJ-UHFFFAOYSA-N	CC1=C(C(=O)NC(C)c2nc3ccccc3[nH]2)CCO1	coadd	CHEMBL4571386	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	271.32	2.434	2	3	67.01	3	20	37	3	0.333	0	0	1		fragment
screen	CUKQFZDGLCFERQ-UHFFFAOYSA-N	CCCCN1CCN=C1S	coadd	CHEMBL1308178	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	158.27	1.388	1	2	15.6	3	10	24	1	0.857	0	0	1		fragment
screen	NSQBJDBKAYSFTP-UHFFFAOYSA-N	O=C(CNCc1ccco1)Nc1ccccc1	coadd	CHEMBL4514877	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	230.27	2.008	2	3	54.27	5	17	31	2	0.154	0	0	1		fragment
screen	OUYCCCASQSFEME-QMMMGPOBSA-N	N[C@@H](Cc1ccc(O)cc1)C(=O)O	chembl_approved	CHEMBL925	CC BY-SA 3.0	2026-09-25	181.19	0.347	3	3	83.55	3	13	24	1	0.222	0	0	1		fragment
screen	GPMOGKAJTTXKII-UHFFFAOYSA-N	CC(CNS(N)(=O)=O)Cc1cccs1	coadd	CHEMBL4548660	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	234.35	0.72	2	3	72.19	5	14	28	1	0.5	0	0	1		fragment
screen	PMHFLBQRALFMRT-UHFFFAOYSA-N	NNC(=O)CP(=O)(c1ccccc1)c1ccccc1	chembl_phase2	CHEMBL1357989	CC BY-SA 3.0	2026-09-25	274.26	0.99	2	3	72.19	4	19	34	2	0.071	0	0	1		fragment
screen	CVRWHBCQJCUBFE-UHFFFAOYSA-N	c1n[nH]c2c1CNC2	coadd	CHEMBL4556908	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	109.13	0.013	2	2	40.71	0	8	15	2	0.4	0	0	1		fragment
screen	MGOCBXKZDZRPMK-UHFFFAOYSA-N	CC1Oc2ccc(Cl)cc2NC1=O	coadd	CHEMBL4559369	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	197.62	2.059	1	2	38.33	0	13	21	2	0.222	0	0	1		fragment
screen	LREQLEBVOXIEOM-UHFFFAOYSA-N	CC(N)CCCC(C)(C)O	chembl_phase2	CHEMBL2111076	CC BY-SA 3.0	2026-09-25	145.25	1.275	2	2	46.25	4	10	29	0	1.0	0	0	1		fragment
screen	OFCNXPDARWKPPY-UHFFFAOYSA-M	O=c1[n-]cnc2[nH]ncc12	chembl_approved	CHEMBL1200477	CC BY-SA 3.0	2026-09-25	135.11	-0.725	1	3	72.74	0	10	13	2	0.0	0	0	1		fragment
screen	OLUYJVIMMJKRAS-UHFFFAOYSA-N	CN(C)C(=O)CCN1CCC(N)CC1	coadd	CHEMBL4546410	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	199.3	-0.112	1	3	49.57	3	14	35	1	0.9	0	0	1		fragment
screen	OHQIHBSBDGTMOL-UHFFFAOYSA-N	CN(CCc1cnn(C)c1)C(=O)c1c[nH]c(=O)[nH]1	coadd	CHEMBL4531899	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	249.27	-0.249	2	3	86.78	4	18	33	2	0.364	0	0	1		fragment
screen	ODHCTXKNWHHXJC-VKHMYHEASA-M	O=C([O-])[C@@H]1CCC(O)=N1	chembl_phase2	CHEMBL3707303	CC BY-SA 3.0	2026-09-25	128.11	-1.145	1	3	72.72	1	9	15	1	0.6	0	0	1		fragment
