pair,pDockQ,n_complexes,example_complex,n_drugs,drugs
TADA2B-TADA3,0.731,1,"SAGA complex, GCN5-linked",1,pentostatin
HDAC1-SIN3A,0.728,29,DNMT3B complex,6,belinostat;panobinostat;pimitespib;romidepsin;tucidinostat;vorinostat
NCAPD2-NCAPH,0.728,1,Condensin I-PARP-1-XRCC1 complex,4,niraparib;olaparib;rucaparib;talazoparib tosylate
HDAC1-SIN3B,0.724,5,BRMS1-mSin3A corepressor complex,6,belinostat;panobinostat;pimitespib;romidepsin;tucidinostat;vorinostat
HDAC2-MTA3,0.724,1,SIX3-LSD1-NuRD(MTA3) complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
H2AC20-H2BC18,0.722,1,TIP60-C complex,14,brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin;eribulin;ixabepilone
SMARCC1-SMARCD2,0.72,4,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
SMARCC1-SMARCD3,0.718,2,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
GUCY1A2-GUCY1B1,0.712,1,GUCY1A2-GUCY1B1 complex,5,glyceryl trinitrate;isosorbide dinitrate;isosorbide mononitrate;nitric oxide;nitroprusside
SMARCD1-SMARCD2,0.701,3,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
ATXN7L3-USP22,0.699,1,"SAGA complex, GCN5-linked",1,pentostatin
SMARCC2-SMARCD2,0.698,4,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
PDE1A-PDE1C,0.694,1,PDE1A-PDE1C complex,1,dipyridamole
GSE1-HMG20B,0.694,3,Anti-HDAC2 complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
SMARCC2-SMARCD3,0.688,2,BRG1-SIN3A complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
EPC1-ING3,0.688,1,TIP60-C complex,14,brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin;eribulin;ixabepilone
HSPA5-HSPA8,0.682,1,HCF-1 complex,6,belinostat;panobinostat;pimitespib;romidepsin;tucidinostat;vorinostat
YWHAG-YWHAH,0.68,1,Kinase maturation complex 1,1,pimitespib
YWHAB-YWHAZ,0.676,1,Kinase maturation complex 1,1,pimitespib
PRKACA-PRKAR2A,0.675,1,KCNQ1 macromolecular complex,3,amifampridine;fampridine;guanidine
YWHAB-YWHAH,0.672,1,Kinase maturation complex 1,1,pimitespib
TUBA1C-TUBB,0.669,1,CD4 receptor complex,18,brentuximab vedotin;cabazitaxel;dasatinib;docetaxel;enfortumab vedotin;eribulin
ILF2-ILF3,0.667,1,Nop56p-associated pre-rRNA complex,19,aclarubicin;belotecan;brentuximab vedotin;cabazitaxel;docetaxel;enfortumab vedotin
DTX3L-PARP9,0.666,1,AR-DTX3L-PARP9 complex,24,apalutamide;bicalutamide;cyproterone acetate;danazol;darolutamide;drostanolone propionate
MTA1-RBBP7,0.658,5,SNF2h-cohesin-NuRD complex,5,belinostat;panobinostat;romidepsin;tucidinostat;vorinostat
