pair,arm,f1_model0,f1_mean,iptm_ab
1,bridge,0.15789473684210525,0.12169448010269575,0.094
1,ctrl,0.0,0.0,0.268
1,pair,0.48484848484848486,0.20316241511156763,0.13
2,bridge,0.1728395061728395,0.2166614684860299,0.372
2,ctrl,0.0,0.0,0.21800000000000003
2,pair,0.12403100775193798,0.1374163582283409,0.22600000000000003
3,bridge,0.8813559322033898,0.890681349780061,0.548
3,ctrl,0.8571428571428571,0.8141056422569027,0.45
3,pair,0.6557377049180327,0.6554149402510058,0.37799999999999995
4,bridge,0.7037037037037037,0.7316925227113906,0.31
4,ctrl,0.0,0.055952380952380955,0.166
4,pair,0.11764705882352941,0.03152941176470588,0.17200000000000001
5,bridge,0.822429906542056,0.7255147394849144,0.342
5,ctrl,0.8865979381443299,0.8899693987768869,0.33
5,pair,0.5620915032679739,0.5479092348525582,0.328
6,bridge,0.975609756097561,0.96402136523137,0.692
6,ctrl,0.9411764705882353,0.9248884000478614,0.6880000000000001
6,pair,0.9176470588235294,0.9032900432900434,0.492
7,bridge,0.8103448275862069,0.7716756642748835,0.496
7,ctrl,0.6607142857142857,0.6564454725311621,0.49399999999999994
7,pair,0.25,0.24633169852867579,0.598
8,bridge,0.0,0.04878048780487805,0.11000000000000001
8,ctrl,0.0,0.035730897009966775,0.146
8,pair,0.0,0.02597874466345717,0.182
9,bridge,0.5333333333333333,0.5333333333333333,0.384
9,ctrl,0.0,0.0,0.052000000000000005
9,pair,0.0,0.0,0.05
10,bridge,0.27586206896551724,0.2688505747126436,0.496
10,ctrl,0.125,0.025,0.05600000000000001
10,pair,0.05714285714285714,0.0973720553983712,0.304
