g1,g2,id1,id2,r,n_lines,pDockQ,ge1,ge2,identity,corum
TADA3,TADA2A,O75528,A0A024R0Y4,0.033454883843660355,1178,0.73088347,-0.19115325808525085,-0.5567047595977783,0.18510158013544017,False
TMEM14B,FADS6,Q9NUH8,A0A087WU67,-0.1209840178489685,1178,0.28457171,-0.12826669216156006,-0.05661263316869736,,False
CD53,KIR3DL3,P19397,A0A0B4J1R5,-0.11657709628343582,1178,0.23347405,-0.04076395183801651,0.10139621794223785,,False
MED19,MED7,A0JLT2,O43513,0.2013895958662033,1178,0.28340623,-0.4926837980747223,-0.932953953742981,0.1885245901639344,False
MED19,MED14,A0JLT2,O60244,0.17139406502246857,1178,0.53738084,-0.4926837980747223,-1.4890227317810059,0.06533700137551582,False
MED19,MED10,A0JLT2,Q9BTT4,0.4135887622833252,1178,0.69501114,-0.4926837980747223,-0.5545581579208374,0.11475409836065574,False
CIB4,VASN,A0PJX0,Q6EMK4,0.012299034744501114,1178,0.35832431,-0.0636054277420044,0.07607027143239975,0.08023774145616643,False
TACO1,CIB4,Q9BSH4,A0PJX0,0.07575304806232452,1178,0.24442777,-0.11830977350473404,-0.0636054277420044,0.13468013468013468,False
ALOX5AP,TMEM120B,P20292,A0PK00,-0.11462807655334473,1178,0.2989058,0.0705159455537796,-0.034129489213228226,0.12389380530973451,False
COMT,TMEM120B,P21964,A0PK00,-0.0043960693292319775,1178,0.32284021,-0.20710420608520508,-0.034129489213228226,0.17699115044247787,False
TMEM139,TMEM120B,Q8IV31,A0PK00,-0.10839185863733292,1178,0.45000063,0.061919089406728745,-0.034129489213228226,0.14454277286135694,False
JPH1,TMEM120B,Q9HDC5,A0PK00,0.07222749292850494,1178,0.24341676,-0.05861842632293701,-0.034129489213228226,0.11195158850226929,False
TMEM120B,TMX2,A0PK00,Q9Y320,0.02239914797246456,1178,0.28580073,-0.034129489213228226,-0.24872562289237976,0.16519174041297935,False
FKBP7,TMEM120B,Q9Y680,A0PK00,-0.19457516074180603,1178,0.35216589,-0.020741967484354973,-0.034129489213228226,0.13864306784660768,False
LRRC25,CLRN2,Q8N386,A0PK11,-0.07371053099632263,1178,0.31920738,0.02789611741900444,-0.018579982221126556,0.18688524590163935,False
TEX29,CLRN2,Q8N6K0,A0PK11,-0.013676521368324757,1178,0.29420649,-0.1053338497877121,-0.018579982221126556,0.15517241379310345,False
