job,n,aa,loci
vc_tfos_01,5,3999,VC_2080::::VC_0622::::VC_1879::::VC_A0601::::VC_0695
vc_tfos_02,6,4000,VC_2080::::VC_0194::::VC_A0516::::VC_A0545::::VC_2630::::VC_A0077
vc_tfos_03,7,3993,VC_2080::::VC_0875::::VC_2424::::VC_0620::::VC_0806::::VC_1414::::VC_2556
vc_tfos_04,7,3992,VC_2080::::VC_1402::::VC_0336::::VC_0032::::VC_2285::::VC_1409::::VC_0462
vc_tfos_05,8,3996,VC_2080::::VC_A0812::::VC_1639::::VC_0766::::VC_1406::::VC_0736::::VC_0137::::VC_0858
vc_tfos_06,8,3911,VC_2080::::VC_1658::::VC_0860::::VC_2425::::VC_A0085::::VC_0321::::VC_1984::::VC_2208
vc_tfos_07,9,3979,VC_2080::::VC_0048::::VC_0463::::VC_A0604::::VC_A0737::::VC_A0590::::VC_1773::::VC_2634::::VC_1845
vc_tfos_08,12,3995,VC_2080::::VC_0823::::VC_0482::::VC_2426::::VC_0339::::VC_0403::::VC_2248::::VC_2657::::VC_1419::::VC_2459::::VC_0112::::VC_1619
vc_tfos_09,16,3914,VC_2080::::VC_A0242::::VC_0396::::VC_1038::::VC_1153::::VC_0859::::VC_2632::::VC_2633::::VC_A0284::::VC_2755::::VC_2631::::VC_1615::::VC_A0928::::VC_A0245::::VC_2423::::VC_0049
vc_tfos_10,16,2995,VC_2080::::VC_0957::::VC_0360::::VC_2511::::VC_0857::::VC_1820::::VC_0870::::VC_0861::::VC_1143::::VC_1208::::VC_A0642::::VC_0666::::VC_1917::::VC_0887::::VC_2597::::VC_0176
