uid,a,b,entry,bridges,control,tokens_bridge,tokens_ctrl
O60826_Q7Z4G1,Q7Z4G1,O60826,8f2u,Q8N668,Q9UBI1,902,907
O60826_Q86VX2,Q86VX2,O60826,8f2u,Q9P000,Q86X83,1025,1026
O60826_Q86X83,O60826,Q86X83,8f2u,Q9UBI1,Q9P000,1021,1024
O75386_Q96RY7,O75386,Q96RY7,8fh3,Q9HBG6,Q9P2L0,3145,3085
O75386_Q9HBG6,Q9HBG6,O75386,8fh3,Q96RY7,Q8NEZ3,3145,3025
O75964_P24539,P24539,O75964,8h9m,P56385,P03928,428,427
O95456_P25786,P25786,O95456,8tm6,P28066 Q969U7,Q99436,1056,828
P17980_Q16401,P17980,Q16401,9pro,P62333 P62195,Q13200,1738,1851
P18859_P48047,P18859,P48047,8h9u,P24539,P00846,577,547
P20618_Q9Y244,Q9Y244,P20618,8yix,P28074,P25786,645,645
P24539_P56385,P24539,P56385,8h9j,O75964,P56134,428,419
P25789_Q9Y244,Q9Y244,P25789,8tm5,O14818 Q99436 P49720,O95456,1132,690
P28066_Q9Y244,Q9Y244,P28066,8yix,P28074,P25786,645,645
P49321_P84243,P49321,P84243,7v1m,P62805,Q9NVP2,1027,1126
P49720_Q9Y244,Q9Y244,P49720,8tm4,Q99436 P25789,O95456,884,634
P50990_Q9H2J4,P50990,Q9H2J4,7nvm,P40227 P63261,P17987,1693,1343
P61163_Q14203,Q14203,P61163,9b7j,Q13561,Q9NZ32,2055,2071
P62195_Q16401,P62195,Q16401,9pro,P43686 P62191 P17980,Q99460,2207,1863
P62333_Q16401,P62333,Q16401,9pro,P43686 P17980,Q13200,1750,1801
Q13352_Q71F23,Q13352,Q71F23,9tax,Q7L2Z9 Q6IPU0,Q96BT3,1151,1156
