g1,g2,id1,id2,r,n_lines,pDockQ,ge1,ge2,identity,corum,key,prior_ev,known
MRPS16,MRPS22,Q9Y3D3,P82650,0.6341702938079834,1178,0.65021072,-0.4954853057861328,-0.5470989346504211,0.1111111111111111,False,P82650_Q9Y3D3,False,False
MRPS33,MRPS35,Q9Y291,P82673,0.5465075969696045,1178,0.45778453,-0.1461387872695922,-0.480411559343338,0.0773993808049535,False,P82673_Q9Y291,False,False
MRPS10,MRPS35,P82664,P82673,0.4858450293540954,1178,0.69612201,-0.5550568103790283,-0.480411559343338,0.1826625386996904,False,P82664_P82673,False,False
CHP1,GPAT4,Q99653,Q86UL3,0.4756848216056824,1178,0.69204831,-0.1765343993902206,0.0759848281741142,0.1206140350877193,False,Q86UL3_Q99653,False,False
HLA-DRB1,HLA-DRB5,P01912,Q30154,0.3431760966777801,1178,0.63856128,0.1084719821810722,0.1347971558570861,,False,P01912_Q30154,False,False
ARCN1,COPB2,P48444,P35606,0.3350748419761657,1178,0.36808551,-1.4538465738296509,-2.208225011825561,0.1346578366445916,False,P35606_P48444,False,False
H2AC20,H2BC18,Q16777,Q5QNW6,0.3302463293075561,1043,0.72231849,-0.8733068704605103,-0.273040622472763,0.2480620155038759,False,Q16777_Q5QNW6,False,False
RPL6,RPL35A,Q02878,P18077,0.3294418752193451,349,0.52027668,-2.330833673477173,-1.557037115097046,0.125,False,P18077_Q02878,False,False
TBL3,WDR3,Q12788,Q9UNX4,0.2341466844081878,1178,0.58739716,-1.252832293510437,-1.3524489402770996,0.1908801696712619,False,Q12788_Q9UNX4,False,False
PWP1,PUM3,Q13610,Q15397,0.2244349271059036,1178,0.38076886,-0.7257137298583984,-0.0573248229920864,0.1728395061728395,False,Q13610_Q15397,False,False
RPL7,RPL18A,P18124,Q02543,0.2179977893829345,1162,0.49148309,-1.582344889640808,-2.4688665866851807,0.1330645161290322,False,P18124_Q02543,False,False
RPL13,RPL27A,P26373,P46776,0.2076691389083862,1178,0.5736691,-2.2569565773010254,-2.031108856201172,0.1516587677725118,False,P26373_P46776,False,False
DDX27,PUM3,Q96GQ7,Q15397,0.181059256196022,1178,0.34802252,-1.0625786781311035,-0.0573248229920864,0.1843137254901961,False,Q15397_Q96GQ7,False,False
EBNA1BP2,RRS1,Q99848,Q15050,0.1743022352457046,1178,0.23083069,-0.9629229307174684,-1.2183678150177002,0.2356164383561644,False,Q15050_Q99848,False,False
RPL24,RPL23,P83731,P62829,0.1694360822439193,1178,0.39614144,-2.010774612426758,-2.645392656326294,0.1783439490445859,False,P62829_P83731,False,False
SDCBP2,PIM3,Q9H190,Q86V86,0.1553169041872024,1178,0.4180723,0.0430858843028545,-0.1161558851599693,0.1809815950920245,False,Q86V86_Q9H190,False,False
BTF3L4,NACA,Q96K17,Q13765,0.1455245912075042,1178,0.67097283,-0.4346137642860412,-1.2791368961334229,0.1488372093023255,False,Q13765_Q96K17,False,False
RPL35A,RPS16,P18077,P62249,0.1426590681076049,349,0.2890855,-1.557037115097046,-2.066614389419556,0.1712328767123287,False,P18077_P62249,False,False
CORO1C,ACTG1,Q9ULV4,P63261,0.14021897315979,1178,0.23489282,-0.1478005498647689,-0.7161232233047485,0.1624472573839662,False,P63261_Q9ULV4,False,False
PTPA,AARS2,Q15257,Q5JTZ9,0.1400007158517837,1178,0.2521855,-0.5622073411941528,-0.4594156742095947,0.1147208121827411,False,Q15257_Q5JTZ9,False,False
HNRNPM,RTCB,P52272,Q9Y3I0,0.1357795149087906,1178,0.33242809,-0.9146052598953248,-0.6009313464164734,0.173972602739726,False,P52272_Q9Y3I0,False,False
RPL11,RPL22,P62913,P35268,0.13465116918087,1178,0.29220601,-2.34453558921814,-0.7108766436576843,0.1853932584269663,False,P35268_P62913,False,False
RPL3,RPL24,P39023,P83731,0.1288907825946808,1178,0.41384315,-2.5326333045959477,-2.010774612426758,0.1116625310173697,False,P39023_P83731,False,False
CCDC77,KIAA0753,Q9BR77,Q2KHM9,0.1180438473820686,1178,0.24969765,-0.062439989298582,0.0380513295531272,0.1323681489141675,False,Q2KHM9_Q9BR77,False,False
RPL18A,RPL21,Q02543,P46778,0.1075430363416671,349,0.47938794,-2.4688665866851807,-2.721560478210449,0.2102272727272727,False,P46778_Q02543,False,False
