job,n,aa,loci
vc_pilot_001,26,3977,VC_0766::::VC_0176::::VC_1917::::VC_0887::::VC_2597::::VC_0666::::VC_A0642::::VC_1143::::VC_1208::::VC_2556::::VC_0861::::VC_0870::::VC_1820::::VC_0857::::VC_2511::::VC_0360::::VC_0957::::VC_0049::::VC_2423::::VC_A0245::::VC_A0928::::VC_1615::::VC_2631::::VC_2755::::VC_A0284::::VC_1619
vc_pilot_002,23,3938,VC_1419::::VC_0176::::VC_0858::::VC_1917::::VC_2633::::VC_0887::::VC_2632::::VC_2597::::VC_0859::::VC_0666::::VC_1153::::VC_A0642::::VC_1208::::VC_1038::::VC_1143::::VC_0396::::VC_A0242::::VC_0112::::VC_2556::::VC_2459::::VC_0861::::VC_2657::::VC_2248
vc_pilot_003,20,3982,VC_1639::::VC_0176::::VC_1917::::VC_0403::::VC_0887::::VC_2597::::VC_0339::::VC_0666::::VC_A0642::::VC_2426::::VC_1143::::VC_1208::::VC_0482::::VC_0823::::VC_2556::::VC_1845::::VC_0861::::VC_2634::::VC_0870::::VC_1820
vc_pilot_004,18,3860,VC_A0812::::VC_0176::::VC_2597::::VC_1917::::VC_0462::::VC_0887::::VC_0666::::VC_1773::::VC_A0642::::VC_1208::::VC_1143::::VC_0695::::VC_A0590::::VC_2556::::VC_A0737::::VC_0861::::VC_A0604::::VC_0870
vc_pilot_005,18,3964,VC_1406::::VC_0176::::VC_1917::::VC_0887::::VC_0463::::VC_2597::::VC_0666::::VC_A0642::::VC_0048::::VC_1143::::VC_1208::::VC_2208::::VC_2556::::VC_1984::::VC_0861::::VC_0321::::VC_0870::::VC_A0085
vc_pilot_006,17,3866,VC_1414::::VC_0176::::VC_1917::::VC_2597::::VC_2425::::VC_0887::::VC_0666::::VC_A0642::::VC_0860::::VC_1208::::VC_1143::::VC_1658::::VC_2556::::VC_0137::::VC_0861::::VC_0870::::VC_0736
vc_pilot_007,17,3958,VC_0875::::VC_0176::::VC_2597::::VC_1917::::VC_0887::::VC_1409::::VC_0666::::VC_A0642::::VC_1143::::VC_1208::::VC_2285::::VC_2556::::VC_0032::::VC_0861::::VC_0870::::VC_0336::::VC_1820
vc_pilot_008,18,3879,VC_1402::::VC_0176::::VC_1917::::VC_0887::::VC_2597::::VC_0666::::VC_0806::::VC_A0642::::VC_1143::::VC_1208::::VC_A0077::::VC_2556::::VC_0861::::VC_0620::::VC_0870::::VC_1820::::VC_0858::::VC_0857
vc_pilot_009,17,3877,VC_2630::::VC_0176::::VC_2597::::VC_0887::::VC_1917::::VC_0666::::VC_2424::::VC_A0642::::VC_1143::::VC_1208::::VC_A0545::::VC_2556::::VC_0861::::VC_A0516::::VC_0870::::VC_1820::::VC_2633
vc_pilot_010,16,3937,VC_0622::::VC_0176::::VC_1917::::VC_2597::::VC_0887::::VC_0666::::VC_0194::::VC_A0642::::VC_1143::::VC_1208::::VC_A0601::::VC_2556::::VC_0861::::VC_0870::::VC_1820::::VC_2632
vc_pilot_011,23,3949,VC_1879::::VC_0176::::VC_0887::::VC_1917::::VC_2597::::VC_0666::::VC_A0642::::VC_1208::::VC_1143::::VC_2556::::VC_0861::::VC_0870::::VC_0859::::VC_1820::::VC_1153::::VC_0857::::VC_2511::::VC_1038::::VC_0360::::VC_0396::::VC_0957::::VC_A0242::::VC_0049
vc_pilot_012,18,3938,VC_A0601::::VC_0857::::VC_2633::::VC_2511::::VC_0403::::VC_0360::::VC_0112::::VC_0957::::VC_0858::::VC_0049::::VC_0339::::VC_2423::::VC_2632::::VC_A0245::::VC_2459::::VC_A0928::::VC_2426::::VC_1615
vc_pilot_013,17,3922,VC_0194::::VC_0857::::VC_1419::::VC_2511::::VC_0482::::VC_0360::::VC_2657::::VC_0957::::VC_0049::::VC_2248::::VC_2423::::VC_0823::::VC_A0245::::VC_0462::::VC_A0928::::VC_1615::::VC_2631
vc_pilot_014,13,3880,VC_0622::::VC_0857::::VC_2511::::VC_1845::::VC_0360::::VC_1773::::VC_0957::::VC_0463::::VC_0049::::VC_2423::::VC_2634::::VC_0859::::VC_A0245
vc_pilot_015,16,3928,VC_0875::::VC_0857::::VC_2511::::VC_0695::::VC_0957::::VC_0048::::VC_0360::::VC_0049::::VC_2425::::VC_2423::::VC_A0590::::VC_A0245::::VC_1153::::VC_A0928::::VC_1038::::VC_1615
vc_pilot_016,16,3901,VC_2285::::VC_0857::::VC_2511::::VC_A0737::::VC_0360::::VC_2208::::VC_0957::::VC_0049::::VC_0860::::VC_2423::::VC_A0604::::VC_A0245::::VC_0396::::VC_A0928::::VC_A0242::::VC_1615
vc_pilot_017,15,3878,VC_2630::::VC_0857::::VC_2511::::VC_1984::::VC_0360::::VC_0957::::VC_1658::::VC_0049::::VC_2423::::VC_0321::::VC_A0245::::VC_1639::::VC_A0928::::VC_0859::::VC_1615
vc_pilot_018,15,3873,VC_0336::::VC_0857::::VC_2511::::VC_A0085::::VC_0957::::VC_0360::::VC_0137::::VC_0049::::VC_2423::::VC_A0812::::VC_A0245::::VC_A0928::::VC_0736::::VC_1615::::VC_2631
vc_pilot_019,14,3961,VC_1409::::VC_0857::::VC_2511::::VC_1406::::VC_0957::::VC_0360::::VC_0049::::VC_1414::::VC_2423::::VC_A0245::::VC_2424::::VC_A0928::::VC_1615::::VC_0032
vc_pilot_020,14,3836,VC_A0545::::VC_0857::::VC_2511::::VC_0957::::VC_0360::::VC_1402::::VC_0049::::VC_2423::::VC_A0516::::VC_A0245::::VC_A0928::::VC_1615::::VC_0806::::VC_2631
vc_pilot_021,17,3861,VC_0620::::VC_2511::::VC_0957::::VC_0360::::VC_0049::::VC_A0077::::VC_2423::::VC_A0245::::VC_A0928::::VC_1615::::VC_1845::::VC_2631::::VC_2633::::VC_2755::::VC_2632::::VC_A0284::::VC_1153
vc_pilot_022,16,3983,VC_1879::::VC_2423::::VC_A0245::::VC_A0928::::VC_2634::::VC_1615::::VC_2631::::VC_0858::::VC_2755::::VC_0112::::VC_A0284::::VC_1773::::VC_1619::::VC_2459::::VC_1038::::VC_0482
vc_pilot_023,15,3873,VC_0766::::VC_0858::::VC_0823::::VC_2633::::VC_0695::::VC_1619::::VC_2632::::VC_0859::::VC_2208::::VC_2755::::VC_A0590::::VC_A0284::::VC_0396::::VC_A0242::::VC_0403
vc_pilot_024,14,3986,VC_0622::::VC_A0928::::VC_1615::::VC_2631::::VC_0396::::VC_0463::::VC_0339::::VC_A0242::::VC_2755::::VC_2426::::VC_A0284::::VC_1419::::VC_1619::::VC_1820
vc_pilot_025,14,3962,VC_0032::::VC_2631::::VC_0859::::VC_A0737::::VC_2755::::VC_0048::::VC_A0284::::VC_2657::::VC_1619::::VC_2248::::VC_1820::::VC_A0604::::VC_2425::::VC_1984
vc_pilot_026,14,3859,VC_A0545::::VC_2755::::VC_0462::::VC_A0284::::VC_1619::::VC_1153::::VC_0321::::VC_0860::::VC_0858::::VC_1820::::VC_A0085::::VC_0112::::VC_2632::::VC_2459
vc_pilot_027,13,3904,VC_A0516::::VC_2755::::VC_A0284::::VC_1658::::VC_1619::::VC_1406::::VC_0858::::VC_2632::::VC_A0812::::VC_1820::::VC_1153::::VC_0137::::VC_0482
vc_pilot_028,13,3993,VC_1409::::VC_2631::::VC_0403::::VC_1153::::VC_1038::::VC_A0737::::VC_0339::::VC_0321::::VC_2426::::VC_2657::::VC_0736::::VC_2248::::VC_1773
vc_pilot_029,13,3885,VC_0806::::VC_2755::::VC_A0284::::VC_0736::::VC_1619::::VC_1639::::VC_2633::::VC_2632::::VC_2285::::VC_0112::::VC_0463::::VC_0858::::VC_2459
vc_pilot_030,13,3981,VC_1402::::VC_2755::::VC_A0284::::VC_1409::::VC_1619::::VC_2633::::VC_0194::::VC_0859::::VC_0396::::VC_0482::::VC_A0242::::VC_A0085::::VC_1845
vc_pilot_031,14,3978,VC_1414::::VC_1820::::VC_2631::::VC_0695::::VC_0112::::VC_A0590::::VC_2459::::VC_1845::::VC_1419::::VC_0870::::VC_2657::::VC_2208::::VC_2248::::VC_2634
vc_pilot_032,13,3960,VC_2424::::VC_2631::::VC_2755::::VC_A0284::::VC_0875::::VC_1619::::VC_0858::::VC_2630::::VC_2632::::VC_0396::::VC_0336::::VC_A0242::::VC_0112
vc_pilot_033,13,3978,VC_A0601::::VC_2631::::VC_2755::::VC_A0284::::VC_1414::::VC_1619::::VC_0859::::VC_1153::::VC_2285::::VC_1038::::VC_0823::::VC_1984::::VC_0462
vc_pilot_034,12,3977,VC_0620::::VC_1619::::VC_0859::::VC_0339::::VC_0860::::VC_2426::::VC_1406::::VC_1038::::VC_0695::::VC_0336::::VC_A0590::::VC_2631
vc_pilot_035,13,3899,VC_A0077::::VC_1619::::VC_0859::::VC_1038::::VC_0137::::VC_0396::::VC_A0242::::VC_2634::::VC_0462::::VC_0048::::VC_2633::::VC_1658::::VC_0112
vc_pilot_036,12,3936,VC_0766::::VC_1153::::VC_2634::::VC_A0604::::VC_2632::::VC_1402::::VC_1038::::VC_0463::::VC_0032::::VC_0112::::VC_2459::::VC_0823
vc_pilot_037,12,3938,VC_1879::::VC_2633::::VC_A0737::::VC_2632::::VC_1419::::VC_1984::::VC_1773::::VC_2425::::VC_0858::::VC_1845::::VC_0048::::VC_1820
vc_pilot_038,9,3931,VC_0622::::VC_0858::::VC_A0604::::VC_2633::::VC_1414::::VC_0403::::VC_0321::::VC_0482::::VC_0336
vc_pilot_039,11,3877,VC_A0516::::VC_0859::::VC_1038::::VC_1845::::VC_0736::::VC_0396::::VC_A0242::::VC_A0812::::VC_1984::::VC_A0545::::VC_1419
vc_pilot_040,11,3821,VC_0806::::VC_0859::::VC_1153::::VC_2424::::VC_1038::::VC_2208::::VC_0339::::VC_0462::::VC_2426::::VC_2425::::VC_A0085
vc_pilot_041,10,3823,VC_2630::::VC_1153::::VC_1038::::VC_0194::::VC_2459::::VC_A0737::::VC_0137::::VC_0463::::VC_0403::::VC_0620
vc_pilot_042,11,3842,VC_0875::::VC_2633::::VC_0859::::VC_0860::::VC_1419::::VC_0403::::VC_1406::::VC_2657::::VC_1402::::VC_2248::::VC_1639
vc_pilot_043,10,3837,VC_A0601::::VC_0396::::VC_1773::::VC_A0242::::VC_1406::::VC_2425::::VC_1639::::VC_0766::::VC_0321::::VC_0823
