g1,g2,id1,id2,r,n_lines,pDockQ,ge1,ge2,identity,corum
HGS,TADA2A,O14964,A0A024R0Y4,-0.08112069964408875,1178,0.07730354,-0.7085214853286743,-0.5567047595977783,0.138996138996139,False
FANCG,TADA2A,O15287,A0A024R0Y4,-0.03617779165506363,1178,0.03875152,-0.0395367257297039,-0.5567047595977783,0.15916398713826366,False
EIF4E2,TADA2A,O60573,A0A024R0Y4,-0.07787039875984192,1178,0.03488791,-0.26644468307495117,-0.5567047595977783,0.12415349887133183,False
MTX2,TADA2A,O75431,A0A024R0Y4,-0.03721855580806732,1178,0.07554778,-0.0301024429500103,-0.5567047595977783,0.14672686230248308,False
FARS2,TADA2A,O95363,A0A024R0Y4,-0.07103618234395981,1178,0.03154398,-0.3320689797401428,-0.5567047595977783,0.188470066518847,False
FAM107A,TADA2A,O95990,A0A024R0Y4,-0.06887967139482498,1178,0.03136542,-0.05401881784200668,-0.5567047595977783,0.11286681715575621,False
ZNF688,TADA2A,P0C7X2,A0A024R0Y4,-0.01649089716374874,1178,0.03327068,-0.04099144786596298,-0.5567047595977783,0.15575620767494355,False
LMO1,TADA2A,P25800,A0A024R0Y4,-0.12356752157211304,1178,0.03857534,0.036303941160440445,-0.5567047595977783,0.12415349887133183,False
QARS1,TADA2A,P47897,A0A024R0Y4,-0.032113779336214066,1178,0.06180171,-1.6815320253372192,-0.5567047595977783,0.15741935483870967,False
KPNA2,TADA2A,P52292,A0A024R0Y4,0.01901344023644924,1178,0.03326922,-0.36932671070098877,-0.5567047595977783,0.18525519848771266,False
MFAP1,TADA2A,P55081,A0A024R0Y4,0.033588748425245285,1178,0.04305407,-1.7876204252243042,-0.5567047595977783,0.1873589164785553,False
MAGOH,TADA2A,P61326,A0A024R0Y4,-0.009042504243552685,1178,0.03173235,-0.9739605784416199,-0.5567047595977783,0.0835214446952596,False
SF3A3,TADA2A,Q12874,A0A024R0Y4,0.010804872959852219,1178,0.03695151,-2.3394217491149902,-0.5567047595977783,0.1996007984031936,False
RTL8B,TADA2A,Q17RB0,A0A024R0Y4,-0.01888066902756691,1162,0.05311018,-0.13891731202602386,-0.5567047595977783,0.08126410835214447,False
KLHL38,TADA2A,Q2WGJ6,A0A024R0Y4,-0.04237711429595947,1178,0.03290712,-0.13041694462299347,-0.5567047595977783,0.14974182444061962,False
TTC9C,TADA2A,Q8N5M4,A0A024R0Y4,0.07866846024990082,1178,0.03318341,-0.2460474818944931,-0.5567047595977783,0.11060948081264109,False
ZNF564,TADA2A,Q8TBZ8,A0A024R0Y4,0.09920286387205124,1178,0.06598742,0.05628780275583267,-0.5567047595977783,0.1609403254972875,False
HNRNPLL,TADA2A,Q8WVV9,A0A024R0Y4,0.01137465238571167,1178,0.06706698,-0.06076677888631821,-0.5567047595977783,0.16420664206642066,False
TEKT4,TADA2A,Q8WW24,A0A024R0Y4,-0.020025266334414482,1178,0.07472981,-0.2975096106529236,-0.5567047595977783,0.19187358916478556,False
PRPF31,TADA2A,Q8WWY3,A0A024R0Y4,0.041114408522844315,1178,0.03182431,-1.9663714170455933,-0.5567047595977783,0.17835671342685372,False
MAGOHB,TADA2A,Q96A72,A0A024R0Y4,0.06507155299186707,1178,0.03497007,-0.029480313882231712,-0.5567047595977783,0.0835214446952596,False
THOC1,TADA2A,Q96FV9,A0A024R0Y4,0.05821127071976662,1178,0.07176593,-1.1585252285003662,-0.5567047595977783,0.1613394216133942,False
PPP1R16B,TADA2A,Q96T49,A0A024R0Y4,-0.015215984545648098,1178,0.06549503,-0.009723898023366928,-0.5567047595977783,0.1763668430335097,False
VPS25,TADA2A,Q9BRG1,A0A024R0Y4,0.00824013166129589,1178,0.03181152,-2.2023019790649414,-0.5567047595977783,0.12641083521444696,False
KLC4,TADA2A,Q9NSK0,A0A024R0Y4,-0.023678727447986603,1178,0.05360351,-0.10626574605703354,-0.5567047595977783,0.16478190630048464,False
RNF6,TADA2A,Q9Y252,A0A024R0Y4,0.025943679735064507,1178,0.07946282,-0.12039811164140701,-0.5567047595977783,0.1635036496350365,False
GPSM3,TADA2A,Q9Y4H4,A0A024R0Y4,-0.00820836704224348,1178,0.08731154,-0.16949108242988586,-0.5567047595977783,0.11738148984198646,False
FADS6,CYSRT1,A0A087WU67,A8MQ03,0.06567401438951492,1059,0.04348705,-0.05661263316869736,-0.140544593334198,,False
PBX3,FADS6,P40426,A0A087WU67,-0.06757806986570358,1178,0.03348869,0.04496580734848976,-0.05661263316869736,,False
ARFIP2,FADS6,P53365,A0A087WU67,-0.011248630471527576,1178,0.08639582,0.1658092588186264,-0.05661263316869736,,False
FADS6,KRTAP10-8,A0A087WU67,P60410,0.04028717800974846,1178,0.04113503,-0.05661263316869736,0.010718057863414288,,False
FADS6,FHL3,A0A087WU67,Q13643,-0.10355227440595627,1178,0.06486847,-0.05661263316869736,0.016451235860586166,,False
TNS2,FADS6,Q63HR2,A0A087WU67,0.10084675997495651,1178,0.08484193,-0.2563523054122925,-0.05661263316869736,,False
MTERF3,FADS6,Q96E29,A0A087WU67,-0.07641423493623734,1178,0.06209191,-0.2594391405582428,-0.05661263316869736,,False
PNKP,FADS6,Q96T60,A0A087WU67,0.0001374221610603854,1178,0.07016064,-0.3994257152080536,-0.05661263316869736,,False
FADS6,KRTAP3-3,A0A087WU67,Q9BYR6,-0.0835050567984581,1043,0.03897549,-0.05661263316869736,0.0074100131168961525,,False
