uid,org,group,a,b,entry,f1,correct,prec_id0.25,prec_id0,prec_examples
A5D8V7_Q96M63,human,confident,Q96M63,A5D8V7,8j07,0.8821192052980132,True,True,True,7RRO
O00189_Q9Y587,human,confident,Q9Y587,O00189,9u9s,0.0465116279069767,False,True,True,"1W63,2JKR,2JKT,2VGL"
O00203_Q92572,human,low,Q92572,O00203,9c5b,0.0,False,True,True,"1W63,2JKR,2JKT,2VGL"
O00203_Q9Y2T2,human,confident,Q9Y2T2,O00203,9c59,0.8768768768768769,True,True,True,"1W63,2JKR,2JKT,2VGL"
O00399_Q9BTE1,human,confident,O00399,Q9BTE1,9b7j,0.8421052631578947,True,True,True,"5ADX,5AFU,5NW4,6F1T"
O00399_Q9NZ32,human,low,O00399,Q9NZ32,9b85,0.0,False,True,True,"5ADX,5AFU,5NW4,6F1T"
O00399_Q9UJW0,human,confident,O00399,Q9UJW0,9b85,0.88,True,True,True,"6ZNL,6ZNM,6ZNN,6ZNO"
O00522_Q9BSQ5,human,confident,Q9BSQ5,O00522,9pvg,0.8043478260869565,True,False,False,
O00541_Q14137,human,confident,Q14137,O00541,8fky,0.8563049853372434,True,True,True,"6C0F,6CB1,6ELZ,6EM1"
O00541_Q9GZL7,human,low,O00541,Q9GZL7,8fky,0.0,False,True,True,"6ELZ,6EM5,7OHR,7OHV"
O15525_Q16236,human,confident,Q16236,O15525,7x5g,0.8571428571428571,True,False,False,
O43143_O75533,human,confident,O43143,O75533,9ze0,0.0195121951219512,False,True,True,"5GM6,5LQW,5Z56,5Z57"
O43257_Q9GZN1,human,confident,O43257,Q9GZN1,8x1c,0.8918918918918919,True,False,False,
O43257_Q9Y230,human,low,O43257,Q9Y230,9ca9,0.0,False,False,False,
O43257_Q9Y265,human,low,O43257,Q9Y265,8x1c,0.0,False,False,False,
O43292_Q969N2,human,confident,O43292,Q969N2,7w72,0.9037037037037036,True,False,False,
O43516_P42768,human,confident,P42768,O43516,9s9x,0.7272727272727273,True,False,False,
