uid,group,f1,status,entry,n_pred,n_exp
A5D8V7_Q96M63,confident,0.8821192052980132,ok,8j07,394.0,361.0
O00189_Q9Y587,confident,0.046511627906976744,ok,9u9s,33.0,10.0
O00203_Q92572,low,0.0,ok,9c5b,26.0,9.0
O00203_Q9Y2T2,confident,0.8768768768768769,ok,9c59,156.0,177.0
O00399_Q9BTE1,confident,0.8421052631578947,ok,9b7j,49.0,46.0
O00399_Q9NZ32,low,0.0,ok,9b85,2.0,21.0
O00399_Q9UJW0,confident,0.88,ok,9b85,23.0,27.0
O00522_Q9BSQ5,confident,0.8043478260869565,ok,9pvg,52.0,40.0
O00541_Q14137,confident,0.8563049853372434,ok,8fky,163.0,178.0
O00541_Q9GZL7,low,0.0,ok,8fky,0.0,28.0
O14617_Q92572,confident,,no model,,,
O15460_P07237,confident,,no model,,,
O15525_Q16236,confident,0.8571428571428571,ok,7x5g,54.0,44.0
O43143_O75533,confident,0.01951219512195122,ok,9ze0,398.0,12.0
O43257_Q9GZN1,confident,0.8918918918918919,ok,8x1c,107.0,115.0
O43257_Q9Y230,low,0.0,ok,9ca9,5.0,21.0
O43257_Q9Y265,low,0.0,ok,8x1c,0.0,14.0
O43292_Q969N2,confident,0.9037037037037037,ok,7w72,66.0,69.0
O43482_Q9NYP9,confident,,no model,,,
O43516_P42768,confident,0.7272727272727273,ok,9s9x,67.0,87.0
O43543_O75771,confident,,no model,,,
O43791_Q99836,low,,no model,,,
O60216_Q7Z5K2,low,0.0,ok,9ep3,0.0,20.0
O60568_Q8NBJ5,low,0.05714285714285714,ok,8zge,8.0,27.0
O60826_Q567U6,confident,0.9336870026525199,ok,8p0v,369.0,385.0
O60826_Q7Z3J2,confident,0.47058823529411764,ok,8p0x,36.0,15.0
O60826_Q7Z4G1,low,0.0,ok,8f2u,5.0,35.0
O60826_Q86VX2,low,0.0,ok,8f2u,6.0,22.0
O60826_Q86X83,low,0.2,ok,8f2u,4.0,26.0
O60826_Q8TCE6,confident,0.8823529411764706,ok,8p0v,33.0,35.0
O60826_Q9GZQ3,confident,0.935064935064935,ok,8p0w,37.0,40.0
O60826_Q9H0A8,low,0.0,ok,8f2u,0.0,19.0
O60826_Q9P000,low,0.0,ok,8p0w,0.0,10.0
O60826_Q9UBI1,confident,0.7142857142857143,ok,8p0w,66.0,102.0
O60826_Q9Y6G5,low,0.0,ok,8p0w,0.0,17.0
O60927_P62136,confident,0.3956043956043956,ok,8dwl,20.0,71.0
O60934_Q92878,confident,0.10309278350515463,ok,9q9i,65.0,32.0
O75083_P23528,low,0.0,ok,9qfq,0.0,33.0
O75386_Q96RY7,low,0.18181818181818182,ok,8fh3,13.0,20.0
O75386_Q9HBG6,low,0.0,ok,8fh3,25.0,46.0
O75477_O94905,confident,0.916256157635468,ok,9vvj,194.0,212.0
O75683_Q99848,low,0.0,ok,8fks,0.0,13.0
O75718_Q32P28,confident,0.8,ok,8k17,119.0,141.0
O75935_Q13561,confident,,no model,,,
O75947_P25705,low,0.23529411764705882,ok,8h9s,5.0,12.0
O75955_Q14254,confident,0.918918918918919,ok,9l3g,356.0,384.0
O75964_P24539,low,0.8108108108108109,ok,8h9m,32.0,42.0
O75964_P56385,confident,0.9421487603305785,ok,8h9u,59.0,62.0
O75971_Q16533,confident,0.868421052631579,ok,7zwd,39.0,37.0
O76021_P62424,low,0.0,ok,8ine,0.0,14.0
O94874_Q96HY6,confident,0.9433962264150944,ok,8c0d,52.0,54.0
O94874_Q96JB5,confident,0.8794326241134752,ok,8ohd,67.0,74.0
O94927_Q68CZ6,confident,0.910699919549477,ok,7sqk,621.0,622.0
O94927_Q9H6D7,confident,0.46153846153846156,ok,7sqk,119.0,102.0
O94927_Q9NVX0,confident,0.06818181818181818,ok,7sqk,66.0,22.0
O95163_Q9H9T3,confident,0.8623853211009175,ok,8ptx,120.0,98.0
O95210_Q9H0R8,confident,0.8363636363636363,ok,8x8a,29.0,26.0
O95229_Q96IY1,low,0.0,ok,8ppr,0.0,5.0
O95456_P25786,low,0.061855670103092786,ok,8tm6,42.0,55.0
O95456_Q969U7,confident,0.8557692307692307,ok,8tm4,96.0,112.0
O95478_Q13823,low,0.0,ok,8rl2,0.0,113.0
O95478_Q99848,low,0.0,ok,8fkx,0.0,20.0
O95478_Q9BZE4,low,0.0,ok,8fl3,2.0,43.0
O95563_Q9Y5U8,confident,0.6458333333333334,ok,9knx,33.0,63.0
O95619_Q9NPF5,confident,0.9591836734693877,ok,9y3d,97.0,99.0
O95707_Q6NW34,confident,0.7333333333333333,ok,9uha,47.0,43.0
O95825_Q6ZMI0,low,0.07058823529411765,ok,7nd2,29.0,56.0
O95831_Q8N4Q1,confident,0.6041666666666666,ok,9gqz,64.0,32.0
P04839_Q9BQA9,confident,0.09523809523809523,ok,8kei,9.0,96.0
P04908_P0C0S8,confident,0.0,ok,9be5,4.0,8.0
P06576_P18859,low,0.0,ok,8ki3,3.0,10.0
P06576_P36542,confident,0.6268656716417911,ok,8h9v,36.0,31.0
P06576_P48047,low,0.0,ok,8h9e,0.0,8.0
P09417_P62942,confident,0.42857142857142855,ok,9dtw,12.0,16.0
P12956_Q14191,low,0.0,ok,9hzg,33.0,11.0
P13725_P40189,confident,0.8636363636363636,ok,8v29,44.0,44.0
P13807_P46976,confident,0.8627450980392157,ok,8cvx,49.0,53.0
P15884_Q15672,confident,0.9090909090909091,ok,8osb,52.0,47.0
P15927_P23025,confident,0.6557377049180327,ok,9pd4,24.0,37.0
P16383_Q9UBB9,confident,0.7321428571428571,ok,9s2e,119.0,105.0
P17980_Q16401,low,0.0,ok,9pro,0.0,25.0
P18859_P48047,low,0.0,ok,8h9u,0.0,9.0
P19438_Q15628,confident,0.0,ok,9vin,21.0,17.0
P20248_Q9BY12,low,0.15,ok,9hj1,11.0,29.0
P20585_P40692,confident,0.0,ok,9p4b,0.0,16.0
P20618_Q9Y244,low,0.0,ok,8yix,0.0,18.0
P24539_P48047,confident,0.8461538461538461,ok,8ki3,40.0,38.0
P24539_P56385,low,0.4,ok,8h9j,6.0,14.0
P25789_Q9Y244,low,0.0,ok,8tm5,0.0,26.0
P28066_Q9Y244,low,0.0,ok,8yix,0.0,11.0
P30049_P36542,confident,0.9380530973451328,ok,8h9f,56.0,57.0
P31040_Q5VUM1,low,0.16666666666666666,ok,8dye,10.0,74.0
P35998_Q16401,low,0.05405405405405406,ok,9pro,2.0,35.0
P36873_Q9UQ13,confident,0.6075949367088608,ok,7sd0,32.0,47.0
P37198_Q99567,confident,,no model,,,
P38646_Q9HAV7,confident,,no model,,,
P40429_Q99848,confident,0.509090909090909,ok,8fkq,39.0,16.0
P40692_Q9Y2M0,low,0.0,ok,9woy,0.0,41.0
P41743_Q6P1M3,low,0.09009009009009009,ok,9ejk,13.0,98.0
P42695_Q6IBW4,confident,0.5902777777777778,ok,9f5w,168.0,120.0
P42704_Q9GZT3,low,,no model,,,
P43358_Q9NS91,low,0.0,ok,9bd3,1.0,42.0
P46087_Q8WTT2,low,0.0,ok,8fkx,13.0,20.0
P49321_P84243,low,,no model,,,
P49321_Q9NVP2,confident,0.047619047619047616,ok,7v1m,34.0,8.0
P49366_P63241,low,0.0,ok,8a0e,0.0,23.0
P49368_Q9H2J4,low,0.0,ok,8i6j,0.0,42.0
P49720_Q9Y244,low,0.0,ok,8tm4,0.0,19.0
P49755_Q15363,confident,0.7142857142857143,ok,21gl,62.0,92.0
P49755_Q9Y3A6,confident,0.22950819672131148,ok,21gm,60.0,62.0
P49903_Q2TAL8,low,0.07692307692307693,ok,9hjt,5.0,73.0
P49959_Q92878,confident,0.6153846153846154,ok,9q9i,78.0,130.0
P50990_Q9H2J4,low,0.0,ok,7nvm,0.0,13.0
P50991_Q9H2J4,low,0.0,ok,8i9q,6.0,16.0
P55072_Q9H867,low,0.0,ok,7oat,0.0,58.0
P55735_Q6PJI9,confident,0.896551724137931,ok,9oti,135.0,126.0
P55735_Q9NXC5,low,0.0,ok,9lvj,1.0,18.0
P55854_Q5W0Q7,low,0.1111111111111111,ok,7zju,3.0,51.0
P56279_Q9Y6K1,low,0.14285714285714285,ok,9lq1,6.0,36.0
P56524_Q02078,low,0.07407407407407407,ok,7xuz,3.0,24.0
P57081_Q9UBP6,confident,0.9457364341085271,ok,8eg0,63.0,66.0
P61163_Q14203,low,0.0,ok,9b7j,1.0,33.0
P61163_Q9NZ32,confident,0.7391304347826086,ok,9b7j,45.0,47.0
P62136_Q9UQ13,confident,0.40816326530612246,ok,7tvf,36.0,62.0
P62191_Q16401,low,,no model,,,
P62195_Q16401,low,0.0,ok,9pro,2.0,21.0
P62333_Q16401,low,0.0,ok,9pro,0.0,14.0
P62424_Q8IY81,low,0.0,ok,8fks,0.0,12.0
P62424_Q9BYG3,low,0.0,ok,8fkr,0.0,21.0
P63151_Q96E09,low,0.3888888888888889,ok,8so0,9.0,27.0
P63172_Q8WW35,confident,,no model,,,
P63208_Q9UK99,confident,0.9251700680272109,ok,9kbd,72.0,75.0
P68431_Q13111,low,0.03333333333333333,ok,8iqg,7.0,53.0
P80370_Q13705,low,0.0,ok,9d20,0.0,37.0
Q07817_Q96LC9,confident,0.4318181818181818,ok,8iqk,43.0,45.0
Q12904_Q13155,confident,,no model,,,
Q13283_Q14694,low,0.05555555555555555,ok,8th6,2.0,34.0
Q13352_Q71F23,low,0.0,ok,9tax,0.0,47.0
Q13352_Q7L2Z9,low,0.0,ok,9tax,9.0,53.0
Q13352_Q9BU64,confident,0.8163265306122449,ok,9tax,29.0,20.0
Q13363_Q96JN0,confident,0.7755102040816326,ok,9wrj,26.0,23.0
Q13547_Q9UKL0,low,0.0,ok,8vrt,1.0,108.0
Q13561_Q14203,confident,0.2810810810810811,ok,9b7j,68.0,117.0
Q13573_Q96DF8,confident,0.8828828828828829,ok,9s2e,58.0,53.0
Q13596_Q9Y5X3,confident,0.8869565217391304,ok,8afz,112.0,118.0
Q14457_Q6ZNE5,confident,0.9377777777777778,ok,9tz3,231.0,219.0
Q14457_Q96F24,low,0.0,ok,9rx7,0.0,19.0
Q15007_Q5T200,low,0.0,ok,7vf2,7.0,12.0
Q15024_Q8TF46,low,0.6875,ok,9g8m,32.0,32.0
Q15050_Q8TDN6,low,0.0,ok,8fkx,0.0,29.0
Q15050_Q99848,confident,0.6746987951807228,ok,8fkv,33.0,50.0
Q15363_Q9BVK6,confident,0.8,ok,21gm,49.0,66.0
Q15363_Q9Y3A6,confident,0.20408163265306123,ok,21gl,17.0,32.0
Q15506_Q96C74,confident,0.896551724137931,ok,8j07,47.0,40.0
Q15906_Q9NPF5,low,0.0,ok,8xvg,0.0,30.0
