g1,g2,id1,id2,r,n_lines,pDockQ,ge1,ge2,identity,corum
VPS37C,TSG101,A5D8V6,Q99816,0.01633073203265667,1178,0.73051152,-0.17589940130710602,-1.1593528985977173,0.16923076923076924,False
KDM8,RCCD1,Q8N371,A6NED2,0.04397807642817497,1178,0.57877419,-0.5106306076049805,0.050671253353357315,0.18509615384615385,False
MSGN1,TCF4,A6NI15,P15884,-0.060422319918870926,1178,0.65443082,0.04199943691492081,0.08569417893886566,0.0944527736131934,False
TCF12,MSGN1,Q99081,A6NI15,0.01417425274848938,1178,0.67592274,-0.028791137039661407,0.04199943691492081,0.09237536656891496,False
CDK5,SPDYE4,Q00535,A6NLX3,0.07904478907585144,1178,0.58373868,-0.0554763600230217,-0.017529113218188286,0.1780821917808219,False
EIF4E1B,EIF4EBP1,A6NMX2,Q13541,-0.0404856838285923,1178,0.60251541,-0.023966917768120766,-0.10838423669338226,0.11983471074380166,False
ACOT7,ACOT12,O00154,Q8WYK0,-0.04990924894809723,1178,0.56416799,0.0589609257876873,-0.07728911191225052,0.16216216216216217,False
SNAP23,VAMP5,O00161,O95183,-0.05506470426917076,1178,0.6711997,-0.7188029289245605,0.0728621557354927,0.16587677725118483,False
EYA2,SIX1,O00167,Q15475,0.16829492151737213,1178,0.28871057,0.04647773504257202,-0.19600334763526917,0.13011152416356878,False
PSMD12,PSMD11,O00232,O00231,0.39611101150512695,1178,0.24774961,-1.8668063879013062,-1.9088526964187622,0.19736842105263158,True
PSMD11,PSMD14,O00231,O00487,0.1815442442893982,1178,0.25270741,-1.9088526964187622,-1.6427043676376343,0.16113744075829384,True
PSMD11,PSMD6,O00231,Q15008,0.3236338198184967,1178,0.4250399,-1.9088526964187622,-2.012815475463867,0.18009478672985782,True
PSMD12,PSMD7,O00232,P51665,0.17178873717784882,1178,0.32912375,-1.8668063879013062,-1.5957725048065186,0.1513157894736842,True
PSMD12,PSMD13,O00232,Q9UNM6,0.26338621973991394,1178,0.28142784,-1.8668063879013062,-1.0059118270874023,0.18421052631578946,True
SUPT4H1,SUPT5H,P63272,O00267,0.31162720918655396,1178,0.67545787,-0.5150692462921143,-1.4344755411148071,0.045998160073597055,False
TAF4,TAF5,O00268,Q15542,0.318145215511322,1178,0.32097067,-0.2973664700984955,-0.7188271284103394,0.17695852534562212,True
