uid,org,group,a,b,entry,f1,correct,prec_id0.25,prec_id0,prec_examples,status,fnat_6,f1set_6,fnat_8,f1set_8,fnat_10,f1set_10
A5D8V7_Q96M63,human,confident,Q96M63,A5D8V7,8j07,0.8821192052980132,True,True,True,7RRO,ok,0.7878787878787878,0.6632390745501285,0.864367816091954,0.9034013605442177,0.8808510638297873,0.8674242424242424
O00189_Q9Y587,human,confident,Q9Y587,O00189,9u9s,0.0465116279069767,False,True,True,"1W63,2JKR,2JKT,2VGL",ok,0.0,0.0,0.0,0.05405405405405406,0.0,0.25396825396825395
O00203_Q92572,human,low,Q92572,O00203,9c5b,0.0,False,True,True,"1W63,2JKR,2JKT,2VGL",ok,0.0,0.0,0.0,0.0,0.0,0.0
O00203_Q9Y2T2,human,confident,Q9Y2T2,O00203,9c59,0.8768768768768769,True,True,True,"1W63,2JKR,2JKT,2VGL",ok,0.75,0.8194444444444444,0.7368421052631579,0.8795180722891566,0.7964285714285714,0.9119718309859155
O00399_Q9BTE1,human,confident,O00399,Q9BTE1,9b7j,0.8421052631578947,True,True,True,"5ADX,5AFU,5NW4,6F1T",ok,0.7222222222222222,0.7659574468085106,0.6862745098039216,0.8421052631578947,0.7575757575757576,0.8789808917197452
O00399_Q9NZ32,human,low,O00399,Q9NZ32,9b85,0.0,False,True,True,"5ADX,5AFU,5NW4,6F1T",ok,0.0,0.0,0.0,0.0,0.0,0.0
O00399_Q9UJW0,human,confident,O00399,Q9UJW0,9b85,0.88,True,True,True,"6ZNL,6ZNM,6ZNN,6ZNO",ok,0.375,0.6363636363636364,0.6896551724137931,0.88,0.7303370786516854,0.9069767441860465
O00522_Q9BSQ5,human,confident,Q9BSQ5,O00522,9pvg,0.8043478260869565,True,False,False,,ok,0.5454545454545454,0.7843137254901961,0.7619047619047619,0.9367088607594937,0.7969924812030075,0.9344262295081968
O00541_Q14137,human,confident,Q14137,O00541,8fky,0.8563049853372434,True,True,True,"6C0F,6CB1,6ELZ,6EM1",ok,0.7538461538461538,0.8588235294117647,0.8125,0.8613569321533924,0.7828282828282829,0.928030303030303
O00541_Q9GZL7,human,low,O00541,Q9GZL7,8fky,0.0,False,True,True,"6ELZ,6EM5,7OHR,7OHV",ok,0.0,0.0,0.0,0.0,0.0,0.0
O15525_Q16236,human,confident,Q16236,O15525,7x5g,0.8571428571428571,True,False,False,,ok,0.8888888888888888,0.8727272727272727,0.9433962264150944,0.9438202247191011,0.9365079365079365,0.9147286821705426
O43143_O75533,human,confident,O43143,O75533,9ze0,0.0195121951219512,False,True,True,"5GM6,5LQW,5Z56,5Z57",ok,,0.0,0.0,0.024096385542168676,0.0,0.045351473922902494
O43257_Q9GZN1,human,confident,O43257,Q9GZN1,8x1c,0.8918918918918919,True,False,False,,ok,0.4897959183673469,0.7288135593220338,0.5769230769230769,0.8899082568807339,0.6308900523560209,0.9146341463414634
O43257_Q9Y230,human,low,O43257,Q9Y230,9ca9,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O43257_Q9Y265,human,low,O43257,Q9Y265,8x1c,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O43292_Q969N2,human,confident,O43292,Q969N2,7w72,0.9037037037037036,True,False,False,,ok,0.7241379310344828,0.8823529411764706,0.8536585365853658,0.9037037037037037,0.8260869565217391,0.8898678414096917
O43516_P42768,human,confident,P42768,O43516,9s9x,0.7272727272727273,True,False,False,,ok,0.3333333333333333,0.5925925925925926,0.3220338983050847,0.7272727272727273,0.4092526690391459,0.7981651376146789
O60216_Q7Z5K2,human,low,O60216,Q7Z5K2,9ep3,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60568_Q8NBJ5,human,low,Q8NBJ5,O60568,8zge,0.0571428571428571,False,False,False,,ok,0.0,0.0,0.0,0.05714285714285714,0.0,0.15151515151515152
O60826_Q567U6,human,confident,O60826,Q567U6,8p0v,0.93368700265252,True,False,False,,ok,0.5868544600938967,0.7935222672064778,0.814176245210728,0.9336870026525199,0.7941616766467066,0.910268270120259
O60826_Q7Z3J2,human,confident,O60826,Q7Z3J2,8p0x,0.4705882352941176,False,False,False,,ok,1.0,0.26666666666666666,0.7272727272727273,0.47058823529411764,0.5869565217391305,0.5148514851485149
O60826_Q7Z4G1,human,low,Q7Z4G1,O60826,8f2u,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60826_Q86VX2,human,low,Q86VX2,O60826,8f2u,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60826_Q86X83,human,low,O60826,Q86X83,8f2u,0.2,False,False,False,,ok,0.0,0.0,0.058823529411764705,0.2,0.02197802197802198,0.13333333333333333
O60826_Q8TCE6,human,confident,O60826,Q8TCE6,8p0v,0.8823529411764706,True,False,False,,ok,0.5,0.56,0.6842105263157895,0.8823529411764706,0.7551020408163265,0.7627118644067796
O60826_Q9GZQ3,human,confident,O60826,Q9GZQ3,8p0w,0.935064935064935,True,False,False,,ok,0.9,0.9047619047619048,0.9019607843137255,0.935064935064935,0.8043478260869565,0.8907563025210085
O60826_Q9H0A8,human,low,O60826,Q9H0A8,8f2u,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60826_Q9P000,human,low,O60826,Q9P000,8p0w,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60826_Q9UBI1,human,confident,Q9UBI1,O60826,8p0w,0.7142857142857143,True,False,False,,ok,0.3409090909090909,0.5681818181818182,0.46153846153846156,0.7142857142857143,0.5431309904153354,0.7723577235772358
O60826_Q9Y6G5,human,low,O60826,Q9Y6G5,8p0w,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O60927_P62136,human,confident,P62136,O60927,8dwl,0.3956043956043956,False,False,False,,ok,0.0,0.2641509433962264,0.0,0.30952380952380953,0.0,0.3235294117647059
O60934_Q92878,human,confident,O60934,Q92878,9q9i,0.1030927835051546,False,False,False,,ok,0.0,0.0,0.0,0.04878048780487805,0.0,0.1044776119402985
O75083_P23528,human,low,P23528,O75083,9qfq,0.0,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0
O75386_Q96RY7,human,low,O75386,Q96RY7,8fh3,0.1818181818181818,False,False,False,,ok,0.0,0.0,0.0,0.0,0.0,0.0975609756097561
