uid,group,f1,status,entry,n_pred,n_exp,method,res,deposit,insilico,correct,pre_multimer,hires
A5D8V7_Q96M63,confident,0.8821192052980132,ok,8j07,394.0,361.0,ELECTRON MICROSCOPY,4.1,2023-04-09,False,True,False,False
O00189_Q9Y587,confident,0.0465116279069767,ok,9u9s,33.0,10.0,ELECTRON MICROSCOPY,6.8,2025-03-29,False,False,False,False
O00203_Q92572,low,0.0,ok,9c5b,26.0,9.0,ELECTRON MICROSCOPY,4.5,2024-06-06,True,False,False,False
O00203_Q9Y2T2,confident,0.8768768768768769,ok,9c59,156.0,177.0,ELECTRON MICROSCOPY,4.3,2024-06-06,True,True,False,False
O00399_Q9BTE1,confident,0.8421052631578947,ok,9b7j,49.0,46.0,ELECTRON MICROSCOPY,3.49,2024-03-27,False,True,False,False
O00399_Q9NZ32,low,0.0,ok,9b85,2.0,21.0,ELECTRON MICROSCOPY,3.47,2024-03-28,False,False,False,False
O00399_Q9UJW0,confident,0.88,ok,9b85,23.0,27.0,ELECTRON MICROSCOPY,3.47,2024-03-28,False,True,False,False
O00522_Q9BSQ5,confident,0.8043478260869565,ok,9pvg,52.0,40.0,X-RAY DIFFRACTION,3.0,2025-08-01,False,True,False,True
O00541_Q14137,confident,0.8563049853372434,ok,8fky,163.0,178.0,ELECTRON MICROSCOPY,2.67,2022-12-21,False,True,False,True
O00541_Q9GZL7,low,0.0,ok,8fky,0.0,28.0,ELECTRON MICROSCOPY,2.67,2022-12-21,False,False,False,True
O15525_Q16236,confident,0.8571428571428571,ok,7x5g,54.0,44.0,X-RAY DIFFRACTION,2.3,2022-03-04,False,True,False,True
O43143_O75533,confident,0.0195121951219512,ok,9ze0,398.0,12.0,ELECTRON MICROSCOPY,3.43,2025-11-26,False,False,False,False
O43257_Q9GZN1,confident,0.8918918918918919,ok,8x1c,107.0,115.0,ELECTRON MICROSCOPY,3.2,2023-11-06,False,True,False,False
O43257_Q9Y230,low,0.0,ok,9ca9,5.0,21.0,ELECTRON MICROSCOPY,3.56,2024-06-17,False,False,False,False
O43257_Q9Y265,low,0.0,ok,8x1c,0.0,14.0,ELECTRON MICROSCOPY,3.2,2023-11-06,False,False,False,False
O43292_Q969N2,confident,0.9037037037037036,ok,7w72,66.0,69.0,ELECTRON MICROSCOPY,3.1,2021-12-02,False,True,False,False
O43516_P42768,confident,0.7272727272727273,ok,9s9x,67.0,87.0,SOLUTION NMR,,2025-08-06,False,True,False,False
O60216_Q7Z5K2,low,0.0,ok,9ep3,0.0,20.0,X-RAY DIFFRACTION,3.08,2024-03-16,False,False,False,False
O60568_Q8NBJ5,low,0.0571428571428571,ok,8zge,8.0,27.0,ELECTRON MICROSCOPY,3.4,2024-05-09,False,False,False,False
O60826_Q567U6,confident,0.93368700265252,ok,8p0v,369.0,385.0,ELECTRON MICROSCOPY,6.5,2023-05-10,True,True,False,False
