g1,g2,id1,id2,r,pDockQ,mean1,mean2,ndep1,ndep2,both_sel,paness
TAF5L,TADA1,O75529,Q96BN2,0.8304185271263123,0.04744342,-0.2450217455625534,-0.11604446172714233,202,129,True,False
SUPT20H,TADA2B,Q8NEM7,Q86TJ2,0.8247899413108826,0.07162757,-0.10831891745328903,-0.14392220973968506,46,104,True,False
TAF6L,TADA2B,Q9Y6J9,Q86TJ2,0.7686240673065186,0.03470249,-0.3469996452331543,-0.14392220973968506,181,104,True,False
TAF6L,TADA1,Q9Y6J9,Q96BN2,0.761198103427887,0.06174198,-0.3469996452331543,-0.11604446172714233,181,129,True,False
PARD3,PARD6B,Q8TEW0,Q9BYG5,0.711405873298645,0.03525635,-0.12554174661636353,-0.17041265964508057,50,98,True,False
MRPL20,MRPL47,Q9BYC9,Q9HD33,0.6573893427848816,0.03147999,-0.286260724067688,-0.3441239297389984,191,142,True,False
TADA2B,SUPT7L,Q86TJ2,O94864,0.6378614902496338,0.05212756,-0.14392220973968506,-0.05608893185853958,104,43,True,False
MRPL46,MRPL47,Q9H2W6,Q9HD33,0.636303186416626,0.05374522,-0.2087085247039795,-0.3441239297389984,60,142,True,False
MRPL13,MRPL2,Q9BYD1,Q5T653,0.6312931180000305,0.0313218,-0.194338858127594,-0.272825688123703,62,81,True,False
MRPL13,MRPL47,Q9BYD1,Q9HD33,0.6156356334686279,0.0313218,-0.194338858127594,-0.3441239297389984,62,142,True,False
TADA3,SUPT20H,O75528,Q8NEM7,0.5993075966835022,0.09237306,-0.19115325808525085,-0.10831891745328903,46,46,True,False
MRPL37,MRPL14,Q9BZE1,Q6P1L8,0.5987374782562256,0.03135974,-0.32610923051834106,-0.3079613149166107,85,150,True,False
MRPS18C,MRPS9,Q9Y3D5,P82933,0.5934743881225586,0.03149235,-0.2724001109600067,-0.30211055278778076,113,125,True,False
MRPL13,MRPL37,Q9BYD1,Q9BZE1,0.5915456414222717,0.03141757,-0.194338858127594,-0.32610923051834106,62,85,True,False
MRPL20,MRPL19,Q9BYC9,P49406,0.5816625952720642,0.0313218,-0.286260724067688,-0.34109026193618774,191,134,True,False
ACAD9,ECSIT,Q9H845,Q9BQ95,0.571954071521759,0.05101413,-0.2843881845474243,-0.18576058745384216,62,31,True,False
SEPHS1,QRICH1,P49903,Q2TAL8,0.5718638896942139,0.04761647,-0.19663438200950623,-0.30187559127807617,35,75,True,False
