model,a,b,entry,first,f1,null_correct,method,res,dep,insil,ok
ma-bak-cepc-0066,P05756,P42846,9g25,2025-06-18,0.863013698630137,0.025,ELECTRON MICROSCOPY,2.89,2024-07-10,False,True
ma-bak-cepc-0067,P06104,Q07457,7uvc,2023-01-11,0.8627450980392157,0.0,X-RAY DIFFRACTION,3.05,2022-04-29,False,True
ma-bak-cepc-0101,P0CX36,P0CX38,7zw0,2022-10-05,0.9230769230769232,0.0,ELECTRON MICROSCOPY,2.4,2022-05-17,False,True
ma-bak-cepc-0111,P10363,P20457,8b9c,2023-05-31,0.9873417721518988,0.0,ELECTRON MICROSCOPY,4.6,2022-10-05,False,True
ma-bak-cepc-0135,P14724,P09798,8a61,2022-08-31,0.8888888888888888,0.005,ELECTRON MICROSCOPY,5.4,2022-06-16,False,True
ma-bak-cepc-0143,P15731,P54860,9kht,2025-07-30,0.8641975308641975,0.0,ELECTRON MICROSCOPY,4.85,2024-11-11,False,True
ma-bak-cepc-0173,P20457,P38121,8fod,2023-05-31,0.1379310344827586,0.0,ELECTRON MICROSCOPY,3.8,2022-12-30,False,False
ma-bak-cepc-0182,P21801,P33421,9qdm,2025-09-03,0.912,0.0,ELECTRON MICROSCOPY,3.0,2025-03-06,True,True
ma-bak-cepc-0200,P23179,Q02721,8uru,2024-06-26,0.8831168831168831,0.0,ELECTRON MICROSCOPY,3.7,2023-10-26,False,True
ma-bak-cepc-0214,P25301,P38953,9q2h,2026-07-22,0.8026315789473685,0.0,ELECTRON MICROSCOPY,2.74,2025-08-15,False,True
ma-bak-cepc-0228,P25582,Q04031,7nac,2022-11-09,0.6296296296296297,0.0,ELECTRON MICROSCOPY,3.04,2021-06-21,False,True
ma-bak-cepc-0242,P26798,P13902,7xq5,2022-07-20,0.8925619834710744,0.035,X-RAY DIFFRACTION,2.25,2022-05-06,False,True
ma-bak-cepc-0272,P32341,P38784,8eat,2022-11-02,0.8979591836734694,0.01,ELECTRON MICROSCOPY,3.1,2022-08-29,False,True
ma-bak-cepc-0285,P32495,Q6Q547,9g28,2025-06-18,0.7368421052631579,0.0,ELECTRON MICROSCOPY,3.18,2024-07-10,False,True
ma-bak-cepc-0294,P32527,P38788,7x3k,2022-06-29,0.825531914893617,0.0,ELECTRON MICROSCOPY,6.0,2022-03-01,False,True
ma-bak-cepc-0300,P32602,P18759,9nlz,2025-08-27,0.847457627118644,0.0,ELECTRON MICROSCOPY,4.13,2025-03-03,False,True
ma-bak-cepc-0302,P32613,Q03660,7u05,2022-02-09,0.8888888888888888,0.0,ELECTRON MICROSCOPY,3.7,2022-02-17,False,True
ma-bak-cepc-0303,P32617,P53946,9cat,2023-07-12,0.9281045751633988,0.0,ELECTRON MICROSCOPY,2.9,2024-06-17,False,True
ma-bak-cepc-0314,P32897,P39515,8e1m,2023-06-21,0.9534883720930232,0.0,ELECTRON MICROSCOPY,2.9,2022-08-10,False,True
ma-bak-cepc-0322,P32905,Q08444,8c01,2022-12-28,0.8411214953271028,0.0,ELECTRON MICROSCOPY,2.7,2022-12-15,False,True
ma-bak-cepc-0355,P33891,P28791,8eki,2023-10-04,0.8457142857142858,0.0,ELECTRON MICROSCOPY,4.5,2022-09-21,False,True
ma-bak-cepc-0382,P36049,P43586,8v87,2022-11-09,0.8387096774193549,0.005,ELECTRON MICROSCOPY,2.66,2023-12-04,False,True
ma-bak-cepc-0390,P36107,Q06346,9ivc,2025-06-18,0.875,0.005,ELECTRON MICROSCOPY,3.17,2024-07-23,False,True
