uid,group,entry,bridged_frac,n_entities,n_chains,pair_contacts
A5D8V7_Q96M63,confident,8j07,0.19390581717451524,106,974,435
O00189_Q9Y587,confident,9u9s,0.1,5,5,9
O00203_Q92572,low,9c5b,0.0,6,7,9
O00203_Q9Y2T2,confident,9c59,0.01694915254237288,6,14,209
O00399_Q9BTE1,confident,9b7j,0.06521739130434782,14,25,51
O00399_Q9NZ32,low,9b85,0.09523809523809523,9,19,26
O00399_Q9UJW0,confident,9b85,0.2222222222222222,9,19,29
O00522_Q9BSQ5,confident,9pvg,0.175,2,6,63
O00541_Q14137,confident,8fky,0.10112359550561797,59,56,224
O00541_Q9GZL7,low,8fky,0.0,59,56,38
O14617_Q92572,confident,9c5c,0.02608695652173913,4,4,135
O15460_P07237,confident,7zsc,0.0,2,4,115
O15525_Q16236,confident,7x5g,0.0,4,4,53
O43143_O75533,confident,9ze0,0.25,15,13,8
O43257_Q9GZN1,confident,8x1c,0.06956521739130435,16,23,156
O43257_Q9Y230,low,9ca9,0.19047619047619047,6,10,25
O43257_Q9Y265,low,8x1c,0.5,16,23,14
O43292_Q969N2,confident,7w72,0.2028985507246377,5,5,82
O43482_Q9NYP9,confident,7sfy,0.6896551724137931,2,6,32
O43516_P42768,confident,9s9x,0.0,2,2,118
O43543_O75771,confident,9on2,0.11428571428571428,4,4,148
O43791_Q99836,low,9hfv,0.0,2,2,46
O60216_Q7Z5K2,low,9ep3,0.85,3,3,23
O60568_Q8NBJ5,low,8zge,0.18518518518518517,2,4,38
O60826_Q567U6,confident,8p0v,0.07792207792207792,5,5,522
O60826_Q7Z3J2,confident,8p0x,0.3333333333333333,5,5,11
O60826_Q7Z4G1,low,8f2u,0.4,12,12,40
O60826_Q86VX2,low,8f2u,0.4090909090909091,12,12,25
O60826_Q86X83,low,8f2u,0.7307692307692307,12,12,34
O60826_Q8TCE6,confident,8p0v,0.34285714285714286,5,5,38
O60826_Q9GZQ3,confident,8p0w,0.175,12,12,51
O60826_Q9H0A8,low,8f2u,0.42105263157894735,12,12,18
O60826_Q9P000,low,8p0w,0.4,12,12,11
O60826_Q9UBI1,confident,8p0w,0.28431372549019607,12,12,130
O60826_Q9Y6G5,low,8p0w,0.23529411764705882,12,12,18
O60927_P62136,confident,8dwl,0.041666666666666664,2,4,96
O60934_Q92878,confident,9q9i,0.0,5,5,45
O75083_P23528,low,9qfq,0.09090909090909091,3,11,39
O75386_Q96RY7,low,8fh3,0.4,5,5,20
O75386_Q9HBG6,low,8fh3,0.2391304347826087,5,5,46
O75477_O94905,confident,9vvj,0.2688679245283019,2,26,305
O75683_Q99848,low,8fks,0.0,47,44,13
O75718_Q32P28,confident,8k17,0.014184397163120567,4,4,171
O75935_Q13561,confident,9b7j,0.6134969325153374,14,25,200
O75947_P25705,low,8h9s,0.08333333333333333,17,28,11
O75955_Q14254,confident,9l3g,0.3828125,2,44,559
O75964_P24539,low,8h9m,0.42857142857142855,12,19,58
O75964_P56385,confident,8h9u,0.27419354838709675,17,28,91
O75971_Q16533,confident,7zwd,0.32432432432432434,24,22,43
O76021_P62424,low,8ine,0.07142857142857142,58,54,18
O94874_Q96HY6,confident,8c0d,0.1111111111111111,3,6,82
O94874_Q96JB5,confident,8ohd,0.06756756756756757,50,47,92
O94927_Q68CZ6,confident,7sqk,0.12540192926045016,8,8,843
O94927_Q9H6D7,confident,7sqk,0.5980392156862745,8,8,109
O94927_Q9NVX0,confident,7sqk,0.5909090909090909,8,8,21
O95163_Q9H9T3,confident,8ptx,0.0,4,4,116
O95210_Q9H0R8,confident,8x8a,0.0,2,2,43
O95229_Q96IY1,low,8ppr,0.8,8,8,5
O95456_P25786,low,8tm6,0.41818181818181815,17,34,63
O95456_Q969U7,confident,8tm4,0.2857142857142857,13,13,164
O95478_Q13823,low,8rl2,0.12389380530973451,52,49,156
O95478_Q99848,low,8fkx,0.0,53,50,23
O95478_Q9BZE4,low,8fl3,0.06976744186046512,61,60,49
O95563_Q9Y5U8,confident,9knx,0.0,3,3,93
O95619_Q9NPF5,confident,9y3d,0.020202020202020204,16,23,132
O95707_Q6NW34,confident,9uha,0.3953488372093023,12,12,44
O95825_Q6ZMI0,low,7nd2,0.26785714285714285,3,8,65
O95831_Q8N4Q1,confident,9gqz,0.0,2,4,49
P04839_Q9BQA9,confident,8kei,0.0,5,5,117
P04908_P0C0S8,confident,9be5,1.0,8,8,7
P06576_P18859,low,8ki3,0.1,17,28,8
P06576_P36542,confident,8h9v,0.1935483870967742,16,27,33
P06576_P48047,low,8h9e,0.375,5,9,7
P09417_P62942,confident,9dtw,0.0,2,2,19
P12956_Q14191,low,9hzg,0.0,5,3,9
