g1,g2,id1,id2,r_pair,pDockQ,bridge,bridge_min_r,r_bridge_g1,r_bridge_g2,alts
TAF5L,TADA1,O75529,Q96BN2,0.83,0.047,SUPT20H,0.808,0.818,0.808,"['TADA2B', 'TAF6L', 'SUPT7L']"
SUPT20H,TADA2B,Q8NEM7,Q86TJ2,0.825,0.072,TAF5L,0.818,0.818,0.833,"['TADA1', 'TAF6L', 'SGF29']"
TAF6L,TADA2B,Q9Y6J9,Q86TJ2,0.769,0.035,TADA1,0.761,0.761,0.792,"['SUPT20H', 'TAF5L', 'SUPT7L']"
TAF6L,TADA1,Q9Y6J9,Q96BN2,0.761,0.062,TADA2B,0.769,0.769,0.792,"['SUPT20H', 'TAF5L', 'SUPT7L']"
PARD3,PARD6B,Q8TEW0,Q9BYG5,0.711,0.035,PRKCI,0.626,0.626,0.662,"['TP53BP2', 'PAX8', 'CRB3']"
MRPL20,MRPL47,Q9BYC9,Q9HD33,0.657,0.031,MRPL23,0.676,0.685,0.676,"['LARS2', 'HSD17B10', 'MRPS24']"
TADA2B,SUPT7L,Q86TJ2,O94864,0.638,0.052,TADA1,0.727,0.792,0.727,"['TAF6L', 'TAF5L', 'SUPT20H']"
MRPL46,MRPL47,Q9H2W6,Q9HD33,0.636,0.054,MRPL23,0.676,0.705,0.676,"['LARS2', 'HSD17B10', 'MRPS24']"
MRPL13,MRPL2,Q9BYD1,Q5T653,0.631,0.031,MRPS6,0.68,0.698,0.68,"['LARS2', 'MRPS24', 'MRPL14']"
MRPL13,MRPL47,Q9BYD1,Q9HD33,0.616,0.031,LARS2,0.675,0.697,0.675,"['HSD17B10', 'MRPS24', 'MRPS6']"
TADA3,SUPT20H,O75528,Q8NEM7,0.599,0.092,TADA2B,0.663,0.663,0.825,"['SGF29', 'TAF5L', 'TADA1']"
MRPL37,MRPL14,Q9BZE1,Q6P1L8,0.599,0.031,MRPL18,0.606,0.606,0.649,"['MRPL23', 'MRPL21', 'MRPL15']"
MRPS18C,MRPS9,Q9Y3D5,P82933,0.593,0.031,MRPL15,0.652,0.712,0.652,"['MARS2', 'MRPS24', 'HSD17B10']"
