pair,r_pair,pDockQ,bridge,bridge_min_r,control,control_min_r,control_len_window,len_A,len_B,len_C,len_D
TAF5L-TADA1,0.83,0.047,SUPT20H,0.808,PI4KB,0.0001,0.25,589,335,779,816
SUPT20H-TADA2B,0.825,0.072,TAF5L,0.818,NFE2L3,0.0005,0.25,779,420,589,694
TAF6L-TADA2B,0.769,0.035,TADA1,0.761,OLA1,0.0003,0.25,622,420,335,396
TAF6L-TADA1,0.761,0.062,TADA2B,0.769,OLA1,0.0003,0.25,622,335,420,396
PARD3-PARD6B,0.711,0.035,PRKCI,0.626,GOLGA8M,0.0001,0.25,1356,372,596,632
MRPL20-MRPL47,0.657,0.031,MRPL23,0.676,ENSA,0.0028,0.25,149,250,153,121
TADA2B-SUPT7L,0.638,0.052,TADA1,0.727,PGP,0.0033,0.25,420,414,335,321
MRPL46-MRPL47,0.636,0.054,MRPL23,0.676,COMMD8,0.0028,0.25,279,250,153,183
MRPL13-MRPL2,0.631,0.031,MRPS6,0.68,SNAPIN,0.0024,0.25,178,305,125,136
MRPL13-MRPL47,0.616,0.031,LARS2,0.675,LEMD3,0.0019,0.25,178,250,903,911
TADA3-SUPT20H,0.599,0.092,TADA2B,0.663,RXRA,0.0009,0.25,432,779,420,462
MRPL37-MRPL14,0.599,0.031,MRPL18,0.606,KRTCAP2,0.0008,0.25,423,145,180,136
MRPS18C-MRPS9,0.593,0.031,MRPL15,0.652,IRF2,0.0003,0.25,142,396,296,349
MRPL13-MRPL37,0.592,0.031,MRPL18,0.606,WASHC3,0.0001,0.25,178,423,180,194
MRPL20-MRPL19,0.582,0.031,MRPL32,0.602,HIKESHI,0.0023,0.25,149,292,188,197
ACAD9-ECSIT,0.572,0.051,FOXRED1,0.607,MITF,0.0,0.25,621,431,486,526
SEPHS1-QRICH1,0.572,0.048,MDM2,0.22,CERS2,0.0002,0.25,392,776,491,380
MRPL2-MRPL47,0.568,0.033,MRPS6,0.659,MAP1LC3B2,0.0081,0.25,305,250,125,125
WASHC5-WASHC3,0.562,0.038,WASHC4,0.576,ZMYM3,0.0014,0.25,1159,194,1173,1370
MRPL47-MRPL40,0.561,0.034,MRPL20,0.657,MAP1LC3B2,0.0081,0.25,250,206,149,125
