g1,g2,r,pDockQ,mean1,mean2,ndep1,ndep2,fdep1,fdep2,sel1,sel2,both_sel,any_sel,panessential,key,corum
TADA2B,TADA1,0.791797399520874,0.52112755,-0.143922209739685,-0.1160444617271423,104,129,0.0882852292020373,0.1095076400679117,True,True,True,True,False,Q86TJ2_Q96BN2,True
SUPT7L,TADA1,0.7265588641166687,0.56097734,-0.0560889318585395,-0.1160444617271423,43,129,0.0365025466893039,0.1095076400679117,True,True,True,True,False,O94864_Q96BN2,True
COMMD3,CCDC22,0.7059721946716309,0.28810215,-0.1844804137945175,-0.2196413278579712,31,45,0.0263157894736842,0.0382003395585738,True,True,True,True,False,O60826_Q9UBI1,True
GATC,GATB,0.6777389049530029,0.6828792,-0.2273230552673339,-0.3243739306926727,47,143,0.0398981324278438,0.1213921901528013,True,True,True,True,False,O43716_O75879,False
TADA3,TADA2B,0.6633510589599609,0.73136077,-0.1911532580852508,-0.143922209739685,46,104,0.0390492359932088,0.0882852292020373,True,True,True,True,False,O75528_Q86TJ2,True
COG5,COG7,0.6475680470466614,0.71544182,-0.0777428075671196,-0.2610258162021637,36,112,0.030560271646859,0.0950764006791171,True,True,True,True,False,P83436_Q9UP83,True
TMCO6,ZNF511,0.6468898057937622,0.7053893,-0.2212504148483276,-0.2509427368640899,53,83,0.0449915110356536,0.0704584040747028,True,True,True,True,False,Q8NB15_Q96DC7,False
VPS45,RBSN,0.6449118852615356,0.71691732,-0.3291887938976288,-0.3286268413066864,169,153,0.1434634974533107,0.1298811544991511,True,True,True,True,False,Q9H1K0_Q9NRW7,False
MRPL13,MRPL19,0.5856114625930786,0.25541285,-0.194338858127594,-0.3410902619361877,62,134,0.0526315789473684,0.1137521222410865,True,True,True,True,False,P49406_Q9BYD1,False
TADA3,TADA1,0.5760882496833801,0.56742793,-0.1911532580852508,-0.1160444617271423,46,129,0.0390492359932088,0.1095076400679117,True,True,True,True,False,O75528_Q96BN2,True
UQCC1,UQCC2,0.5683702230453491,0.68399919,-0.2481463998556137,-0.2954067885875702,67,46,0.0568760611205432,0.0390492359932088,True,True,True,True,False,Q9BRT2_Q9NVA1,False
COMMD3,COMMD8,0.5598592758178711,0.53080189,-0.1844804137945175,-0.1663301587104797,31,23,0.0263157894736842,0.0195246179966044,True,True,True,True,False,Q9NX08_Q9UBI1,True
DNAJC2,HSPA14,0.504256546497345,0.57486791,-0.1083721667528152,-0.2853990495204925,28,181,0.0237691001697792,0.1536502546689304,True,True,True,True,False,Q0VDF9_Q99543,False
ADAT3,ADAT2,0.4831992983818054,0.67931128,-0.2676510512828827,-0.1870527565479278,65,85,0.0551782682512733,0.0721561969439728,True,True,True,True,False,Q7Z6V5_Q96EY9,False
CCDC22,VPS35L,0.4615719616413116,0.39943721,-0.2196413278579712,-0.1863260865211486,45,16,0.0382003395585738,0.0135823429541595,True,True,True,True,False,O60826_Q7Z3J2,True
MRPL11,MRPL54,0.4479799270629883,0.43534532,-0.2710963487625122,-0.3382644653320312,51,110,0.0432937181663837,0.0933786078098472,True,True,True,True,False,Q6P161_Q9Y3B7,False
AP1G1,AP1M1,0.3793800473213196,0.46833482,-0.1452320218086242,-0.0998573005199432,29,16,0.0246179966044142,0.0135823429541595,True,True,True,True,False,O43747_Q9BXS5,True
NME6,RCC1L,0.3760078847408294,0.65507469,-0.1666851043701172,-0.2779752314090729,30,98,0.0254668930390492,0.0831918505942275,True,True,True,True,False,O75414_Q96I51,False
ISL1,LDB1,0.3696250021457672,0.62954326,-0.0756033211946487,-0.2744059860706329,26,118,0.0220713073005093,0.100169779286927,True,True,True,True,False,P61371_Q86U70,False
RMND5A,MAEA,0.3654066920280456,0.73595252,-0.3255131840705871,-0.3007419109344482,132,116,0.1120543293718166,0.098471986417657,True,True,True,True,False,Q7L5Y9_Q9H871,True
SMARCC1,SMARCD2,0.279403954744339,0.72011967,-0.240906536579132,-0.2022972255945205,55,19,0.0466893039049236,0.0161290322580645,True,True,True,True,False,Q92922_Q92925,True
DDRGK1,CDK5RAP3,0.2641054689884186,0.46259472,-0.2185889631509781,-0.349217414855957,26,83,0.0220713073005093,0.0704584040747028,True,True,True,True,False,Q96HY6_Q96JB5,False
HSBP1,BRK1,0.2498353272676468,0.60342935,-0.2587011158466339,-0.2549775242805481,29,105,0.0246179966044142,0.0891341256366723,True,True,True,True,False,O75506_Q8WUW1,False
FBXO7,PSMF1,0.2489122301340103,0.59315361,-0.0256078876554965,-0.1683436334133148,33,65,0.0280135823429541,0.0551782682512733,True,True,True,True,False,Q92530_Q9Y3I1,False
NFKB2,RELB,0.2241662740707397,0.50528896,-0.0889369398355484,0.0173430908471345,20,15,0.0169779286926994,0.0127334465195246,True,True,True,True,False,Q00653_Q01201,True
CTBP1,ZEB1,0.2114961594343185,0.2599481,0.0024876338429749,-0.0994589105248451,16,41,0.0135823429541595,0.0348047538200339,True,True,True,True,False,P37275_Q13363,True
AP1M1,IKZF1,0.1487544924020767,0.27014418,-0.0998573005199432,-0.0460704490542411,16,22,0.0135823429541595,0.0186757215619694,True,True,True,True,False,Q13422_Q9BXS5,False
SMARCC2,SMARCD2,0.1410799324512481,0.69786435,-0.2493668496608734,-0.2022972255945205,16,19,0.0135823429541595,0.0161290322580645,True,True,True,True,False,Q8TAQ2_Q92925,True
CSNK2A1,NKAPD1,0.1319530159235,0.25066772,-0.1255242526531219,-0.2890771329402923,25,46,0.0212224108658743,0.0390492359932088,True,True,True,True,False,P68400_Q6ZUT1,False
CCNC,PAX5,0.1272796690464019,0.23852833,-0.2620517313480377,-0.1148988902568817,173,41,0.1468590831918506,0.0348047538200339,True,True,True,True,False,P24863_Q02548,False
NFE2L2,MAFG,0.1132116019725799,0.70295016,-0.2356238365173339,-0.1639518588781356,73,15,0.0619694397283531,0.0127334465195246,True,True,True,True,False,O15525_Q16236,False
HDAC2,GATAD2A,0.1083707436919212,0.33683721,-0.0597893632948398,-0.3150082528591156,23,91,0.0195246179966044,0.0772495755517826,True,True,True,True,False,Q86YP4_Q92769,True
